group,kind,sl,tp,n,net,exp,pf,wr,maxdd,ulcer,r2,green_months,months,worst_month,best_month,score,plateau,dev_n,dev_net,dev_exp,dev_pf,dev_wr,dev_maxdd,dev_ulcer,dev_r2,dev_green_months,dev_months,dev_worst_month,dev_best_month,val_n,val_net,val_exp,val_pf,val_wr,val_maxdd,val_ulcer,val_r2,val_green_months,val_months,val_worst_month,val_best_month,hold_n,hold_net,hold_exp,hold_pf,hold_wr,hold_maxdd,hold_ulcer,hold_r2,hold_green_months,hold_months,hold_worst_month,hold_best_month,all_n,all_net,all_exp,all_pf,all_wr,all_maxdd,all_ulcer,all_r2,all_green_months,all_months,all_worst_month,all_best_month
A_LONG,MAX_NET,36.5,100.0,134.0,1018.9329999999986,7.603977611940288,1.6413591161125163,0.5447761194029851,309.349999999999,115.89952686254838,0.8103809246834645,9.0,13.0,-153.067,311.8349999999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_SHORT,MAX_NET,8.0,97.0,101.0,317.7229999999995,3.1457722772277177,1.4896634096723471,0.18811881188118812,159.69000000000005,70.96996279231499,0.7592379792786179,7.0,13.0,-72.0,160.10000000000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_BOTH,MAX_NET,13.5,97.0,235.0,1236.4199999999973,5.261361702127648,1.6012467255098273,0.33617021276595743,287.1099999999997,73.0060702097886,0.9131418724533712,11.0,13.0,-219.60999999999967,294.90300000000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLIP_LONG,MAX_NET,46.0,100.0,104.0,511.7670000000021,4.920836538461558,1.3532248512950358,0.5480769230769231,238.25799999999754,98.83747476028697,0.7895174043753495,6.0,13.0,-115.77700000000095,296.09600000000137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLIP_SHORT,MAX_NET,18.5,56.5,116.0,358.27300000000014,3.0885603448275876,1.2920160241911491,0.3879310344827586,256.9200000000005,129.45845755465768,0.5333104741338586,6.0,13.0,-96.55700000000024,284.2500000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLIP_BOTH,MAX_NET,46.5,100.0,220.0,779.4750000000004,3.5430681818181835,1.24007580417194,0.5181818181818182,534.9499999999975,182.53422873957035,0.7232249739706995,5.0,13.0,-162.4559999999983,577.5890000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_LONG,ROBUST_DV,13.5,26.0,,,,,,,,,,,,,8.480034573772883,1.0,76.0,608.9899999999993,8.013026315789466,2.4506669842782256,0.5789473684210527,41.5,14.511312057549423,0.9787443441469905,7.0,7.0,14.149999999999636,117.67000000000007,25.0,97.0,3.88,1.5132275132275133,0.44,56.0,23.536142419691465,0.4605068772570811,2.0,4.0,-29.0,102.0,33.0,58.090000000000146,1.7603030303030347,1.2151481481481488,0.3939393939393939,57.0,31.028945430766004,0.5489110806180265,2.0,4.0,-40.5,66.09000000000015,134.0,764.0799999999995,5.702089552238802,1.8694583522985881,0.5074626865671642,59.0,21.896796859051495,0.9442745684151073,10.0,13.0,-29.0,117.67000000000007
A_SHORT,ROBUST_DV,12.0,97.0,,,,,,,,,,,,,3.100541093383339,0.92,44.0,82.86199999999917,1.8832272727272539,1.245868902755645,0.3181818181818182,103.88400000000001,48.70551347756884,0.02180014301513523,4.0,7.0,-43.884000000000015,158.0,32.0,138.30000000000018,4.321875000000006,1.4432692307692314,0.1875,144.0,73.44293750082431,0.11146718560233805,2.0,4.0,-108.0,172.30000000000018,25.0,69.63000000000056,2.7852000000000228,1.3223611111111138,0.28,84.0,37.97890151123383,0.3246766236846233,2.0,4.0,-36.0,105.40000000000009,101.0,290.7919999999999,2.879128712871286,1.3361691157514823,0.26732673267326734,144.0,56.15800948816887,0.8089382085927507,7.0,13.0,-108.0,192.58000000000084
A_BOTH,ROBUST_DV,13.5,26.0,,,,,,,,,,,,,4.477981853304181,1.0,120.0,672.449999999998,5.603749999999983,1.9128115328229323,0.525,56.2199999999998,21.652907685612742,0.9692052371224332,7.0,7.0,28.49299999999903,128.0,57.0,60.0,1.0526315789473684,1.123456790123457,0.3684210526315789,139.0,66.03262085926818,0.031562561246719405,2.0,4.0,-71.5,87.5,58.0,96.26000000000022,1.659655172413797,1.2037248677248682,0.39655172413793105,83.0,35.97472771936931,0.716240652969076,3.0,4.0,-21.329999999999927,85.5,235.0,828.7099999999982,3.526425531914886,1.4888625396713022,0.4553191489361702,139.0,43.29762056992301,0.9009229058746098,12.0,13.0,-71.5,120.59400000000005
FLIP_LONG,ROBUST_DV,5.5,31.0,,,,,,,,,,,,,5.062903232706377,1.0,42.0,60.13899999999967,1.4318809523809446,1.3416988636363618,0.23809523809523808,40.86999999999989,17.80422314802757,0.5021834531350676,5.0,7.0,-22.0,45.66899999999987,36.0,94.0,2.611111111111111,1.6103896103896105,0.2222222222222222,66.0,24.952872246163032,0.7387585928298124,2.0,4.0,-60.5,116.5,26.0,76.0,2.923076923076923,1.690909090909091,0.23076923076923078,33.0,14.951202678663062,0.7003655875288928,3.0,4.0,-11.0,43.5,104.0,230.13899999999967,2.212874999999997,1.523043181818181,0.23076923076923078,82.5,29.396918205825582,0.8193296098630426,10.0,13.0,-71.5,116.5
FLIP_SHORT,ROBUST_DV,7.5,20.0,,,,,,,,,,,,,1.3498336686962724,0.84,59.0,44.042999999999665,0.7464915254237231,1.1446228208723395,0.3050847457627119,77.03700000000026,30.671819586206826,0.3566239784397438,2.0,7.0,-35.0,85.0,25.0,5.0,0.2,1.037037037037037,0.28,55.0,24.869660230891775,0.13865044334533877,2.0,4.0,-22.5,22.5,32.0,42.530000000000655,1.3290625000000205,1.2700317460317503,0.34375,60.0,29.253661843434056,0.3001915891215396,3.0,4.0,-7.469999999999345,42.5,116.0,91.57300000000032,0.7894224137931062,1.153379103807637,0.3103448275862069,77.03700000000026,32.19046575047897,0.5944259537967278,7.0,13.0,-35.0,85.0
FLIP_BOTH,ROBUST_DV,6.0,29.5,,,,,,,,,,,,,3.220197393750888,1.0,101.0,64.04499999999871,0.6341089108910763,1.1390659165278765,0.2376237623762376,77.66000000000076,35.25997432958222,0.3382390996577568,4.0,7.0,-37.73700000000008,58.16899999999987,61.0,60.0,0.9836065573770492,1.2040816326530612,0.19672131147540983,78.5,39.394130793604354,0.7391638866658534,2.0,4.0,-54.5,128.5,58.0,155.03000000000065,2.6729310344827697,1.6008914728682195,0.25862068965517243,60.0,21.67925311253229,0.7767003087914486,4.0,4.0,5.5,99.5,220.0,279.07499999999936,1.2685227272727244,1.2756195576062892,0.2318181818181818,121.0,47.49675365758275,0.6460430930661633,9.0,13.0,-49.0,128.5
