group,n,mfe_mean,mfe_median,mfe_p25,mfe_p75,mfe_p80,mfe_p90,mfe_p95,mfe_max,mae_mean,mae_median,mae_p25,mae_p75,mae_p80,mae_p90,mae_p95,mae_max
A_LONG,134,35.96988059701493,28.49649999999974,11.728250000000344,47.0157499999998,54.14520000000022,79.0138999999998,94.16419999999997,230.0930000000008,37.389455223880574,23.273499999999785,9.272500000000036,44.612499999999955,53.958799999999705,74.86990000000002,101.34204999999969,498.607
A_SHORT,101,33.62161386138614,23.4399999999996,8.91000000000031,42.82999999999993,48.48999999999978,81.32300000000032,111.19999999999982,203.1899999999996,35.28081188118812,28.89999999999964,11.476999999999862,46.677000000000135,55.14999999999964,75.71000000000049,90.9399999999996,135.60000000000036
A_BOTH,235,34.96062553191489,27.480000000000015,11.050000000000182,45.728000000000065,50.300000000000026,80.5898000000001,104.64940000000017,230.0930000000008,36.48318723404254,25.596999999999756,10.5,46.313499999999976,54.43559999999963,76.13420000000015,101.23989999999964,498.607
FLIP_LONG,104,31.811634615384627,22.60649999999987,6.630750000000489,45.39824999999962,54.86319999999997,69.59010000000035,99.94600000000032,123.97000000000024,33.74875000000001,22.736999999999853,11.250250000000506,45.536750000000325,52.50880000000007,78.54600000000002,104.71609999999966,210.05000000000015
FLIP_SHORT,116,41.56287068965519,23.7829999999999,9.497250000000008,47.985000000000355,58.2450000000008,79.61650000000054,127.2500000000001,421.28700000000026,33.12969827586205,24.286999999999807,10.959249999999656,44.62699999999984,50.25,62.807000000000244,103.57524999999987,167.59699999999975
FLIP_BOTH,220,36.95319545454547,23.301500000000033,8.219999999999914,47.7650000000001,57.184999999999874,77.11100000000042,107.88349999999963,421.28700000000026,33.4223409090909,23.211999999999993,10.959249999999656,45.45249999999999,52.202000000000055,67.11539999999964,104.10929999999973,210.05000000000015
