date,branch,direction,dOpen,bHi,bLo,entry,sl,tp,outcome,exit_price,exit_bar,bars_held,bars_to_entry,pnl,mfe,mae
2024-01-04,flipshort,-1,7506.667,7517.287,7504.667,7487.667,7534.287,7448.667,TIMEOUT,7506.569,2024-01-04 13:10:00+11:00,180,27,-18.902000000000044,4.5,24.92999999999938
2024-01-24,flipshort,-1,7544.659,7556.223,7544.787,7527.787,7573.223,7488.787,TIMEOUT,7503.593,2024-01-24 13:08:00+11:00,180,6,24.194000000000415,26.097999999999956,5.869999999999891
2024-01-25,flipshort,-1,7550.287,7550.787,7549.097,7532.097,7567.787,7493.097,TIMEOUT,7542.999,2024-01-25 13:10:00+11:00,180,59,-10.902000000000044,9.536000000000058,11.902000000000044
2024-02-01,flipshort,-1,7596.593,7610.561,7608.657,7591.657,7627.561,7552.657,TIMEOUT,7596.657,2024-02-01 13:07:00+11:00,180,100,-5.0,14.096000000000458,8.967999999999847
2024-02-26,flipshort,-1,7652.287,7671.723,7671.159,7654.159,7688.723,7615.159,TIMEOUT,7649.597,2024-02-26 13:04:00+11:00,180,116,4.561999999999898,11.935999999999694,4.438000000000102
2024-03-07,flipshort,-1,7750.355,7753.887,7752.387,7735.387,7770.887,7696.387,TIMEOUT,7741.999,2024-03-07 13:05:00+11:00,180,15,-6.61200000000008,0.8260000000000218,35.436000000000604
2024-03-21,flipshort,-1,7745.241,7771.689,7756.657,7739.657,7788.689,7700.657,TIMEOUT,7740.415,2024-03-21 13:05:00+11:00,180,70,-0.7579999999998108,19.115999999999985,7.0
2024-08-28,flipshort,-1,8019.593,8037.549,8033.625,8016.625,8054.549,7977.625,TIMEOUT,8033.007,2024-08-28 13:04:00+10:00,180,86,-16.381999999999607,12.032000000000153,20.373999999999796
2024-09-04,flipshort,-1,7983.199,8001.775,7988.731,7971.731,8018.775,7932.731,TIMEOUT,7950.713,2024-09-04 13:04:00+10:00,180,34,21.01800000000003,34.521999999999935,5.444000000000415
2024-09-11,flipshort,-1,8017.087,8017.905,8016.991,7999.991,8034.905,7960.991,TIMEOUT,7997.625,2024-09-11 13:04:00+10:00,180,50,2.3659999999999854,28.365999999999985,3.007999999999811
2024-09-13,flipshort,-1,8115.689,8124.625,8120.657,8103.657,8141.625,8064.657,TIMEOUT,8092.669,2024-09-13 13:04:00+10:00,180,79,10.988000000000284,12.032000000000153,19.220000000000255
2024-09-16,flipshort,-1,8119.477,8133.977,8133.039,8116.039,8150.977,8077.039,TIMEOUT,8134.329,2024-09-16 13:04:00+10:00,180,73,-18.289999999999964,0.6499999999996362,21.288000000000466
2024-09-25,flipshort,-1,8182.561,8183.657,8176.561,8159.561,8200.657,8120.561,TIMEOUT,8147.999,2024-09-25 13:05:00+10:00,180,17,11.561999999999898,23.967999999999847,3.128000000000611
2024-10-01,flipshort,-1,8232.689,8240.689,8234.593,8217.593,8257.689,8178.593000000001,TIMEOUT,8204.625,2024-10-01 13:06:00+10:00,180,129,12.968000000000757,16.968000000000757,1.4059999999990396
2024-10-09,flipshort,-1,8192.999,8204.561,8202.625,8185.625,8221.561,8146.625,TIMEOUT,8185.593,2024-10-09 13:06:00+11:00,180,179,0.032000000000152795,1.0320000000001528,3.0
