step,n,hit,obs,h99,year,phase
overshoot -> hz,1744,600,0.3440366972477064,0.3333333333333333,2024-25,1
hz -> half,600,370,0.6166666666666667,0.6,2024-25,1
half -> whole,370,241,0.6513513513513514,0.625,2024-25,1
whole -> completion,241,213,0.8838174273858921,0.8888888888888888,2024-25,1
completion -> target,213,194,0.9107981220657277,0.9,2024-25,1
LQP -> overshoot,24158,1802,0.07459226757181886,0.0,2024-25,2
overshoot -> hz,1802,627,0.3479467258601554,0.3333333333333333,2024-25,2
hz -> half,627,367,0.5853269537480064,0.6,2024-25,2
half -> whole,367,230,0.6267029972752044,0.625,2024-25,2
whole -> completion,230,202,0.8782608695652174,0.8888888888888888,2024-25,2
completion -> target,202,184,0.9108910891089109,0.9,2024-25,2
LQP -> overshoot,24084,1748,0.07257930576316227,0.0,2024-25,3
overshoot -> hz,1748,616,0.3524027459954233,0.3333333333333333,2024-25,3
hz -> half,616,362,0.5876623376623377,0.6,2024-25,3
half -> whole,362,229,0.6325966850828729,0.625,2024-25,3
whole -> completion,229,215,0.9388646288209607,0.8888888888888888,2024-25,3
completion -> target,215,190,0.8837209302325582,0.9,2024-25,3
LQP -> overshoot,25703,1807,0.07030307746177489,0.0,2024-25,4
overshoot -> hz,1807,637,0.35251798561151076,0.3333333333333333,2024-25,4
hz -> half,637,389,0.6106750392464678,0.6,2024-25,4
half -> whole,389,244,0.6272493573264781,0.625,2024-25,4
whole -> completion,244,220,0.9016393442622951,0.8888888888888888,2024-25,4
completion -> target,220,205,0.9318181818181818,0.9,2024-25,4
LQP -> overshoot,26957,1880,0.06974069814890381,0.0,2024-25,5
overshoot -> hz,1880,673,0.3579787234042553,0.3333333333333333,2024-25,5
hz -> half,673,406,0.6032689450222882,0.6,2024-25,5
half -> whole,406,243,0.5985221674876847,0.625,2024-25,5
whole -> completion,243,221,0.9094650205761317,0.8888888888888888,2024-25,5
completion -> target,221,202,0.9140271493212669,0.9,2024-25,5
LQP -> overshoot,28307,1860,0.06570812873140919,0.0,2024-25,6
overshoot -> hz,1860,625,0.33602150537634407,0.3333333333333333,2024-25,6
hz -> half,625,385,0.616,0.6,2024-25,6
half -> whole,385,244,0.6337662337662338,0.625,2024-25,6
whole -> completion,244,222,0.9098360655737705,0.8888888888888888,2024-25,6
completion -> target,222,199,0.8963963963963963,0.9,2024-25,6
LQP -> overshoot,27770,1898,0.06834713719841555,0.0,2024-25,7
overshoot -> hz,1898,622,0.32771338250790305,0.3333333333333333,2024-25,7
hz -> half,622,376,0.6045016077170418,0.6,2024-25,7
half -> whole,376,246,0.6542553191489362,0.625,2024-25,7
