session,n,pf,exp,net,wr,mdd
Q1 Asia      18:45,25,5.125014668074803,15.467320000000003,386.68300000000005,76.0,15.863999999999976
Q2 London    00:45,31,1.5427355910727605,4.366290322580646,135.35500000000002,48.38709677419355,51.957
Q3 NY AM     06:45,33,0.9338126198718953,-0.6650909090909097,-21.94800000000002,36.36363636363637,84.194
Q4 NY PM     12:45,36,1.040605290462478,0.3869999999999999,13.931999999999997,41.66666666666667,125.69299999999998
Tokyo open   19:45,41,1.0480879986167086,0.4409024390243905,18.077000000000012,39.02439024390244,189.90800000000002
London open  03:45,33,0.7154466372550374,-3.117454545454546,-102.87600000000002,30.303030303030305,209.13
NY open      10:15,28,0.27136365805421975,-9.815928571428572,-274.846,14.285714285714285,274.846
