net,pf,dd,streak
387.003,5.104738974565664,31.48400000000001,2
343.972,4.145203174719286,31.444000000000017,2
220.708,2.411429156114905,31.434,2
385.946,5.120977214000471,31.434,2
188.35700000000003,2.0967631114656546,62.59100000000001,4
379.188,5.047521455104394,15.864000000000004,1
434.942,6.587856674846154,15.606999999999971,1
285.174,3.2817935956728386,36.730999999999995,2
559.9809999999999,18.971148908857508,15.580000000000041,1
378.12299999999993,5.027812693069729,31.444000000000017,2
230.207,2.47706828185353,46.70000000000002,3
558.711,18.753201359982206,15.864000000000004,1
272.459,2.9351468447032922,31.176999999999992,2
354.461,4.2514286762615,31.189999999999998,2
501.7020000000001,11.541729702471004,15.864000000000004,1
577.352,38.05725288831836,15.580000000000013,1
253.64300000000003,2.800866200433101,46.809999999999995,3
356.365,4.26398366016065,31.364000000000004,2
429.42600000000004,6.477023149033863,31.471000000000004,2
312.48900000000003,3.500812292425273,15.863999999999976,1
520.126,12.102653318248768,15.620000000000005,1
386.923,5.136400081247794,15.864000000000004,1
478.5229999999999,8.601032483519974,15.864000000000004,1
312.91100000000006,3.5129982251419487,31.176999999999964,2
427.729,6.489757938239598,31.186999999999955,2
203.592,2.30310555825802,46.58000000000001,3
478.68199999999996,8.695852090032153,15.620000000000005,1
469.42499999999995,8.535637461071694,15.607000000000028,1
427.749,6.5001800180018,15.62,1
271.308,2.9309078486634212,31.186999999999998,2
435.795,6.56826893590923,47.064,3
396.768,5.204877118239913,31.443999999999996,2
312.778,3.4878343660269,31.187000000000012,2
377.658,5.024316951536593,31.48400000000001,2
583.551,38.47919075144508,15.569999999999993,1
468.713,8.44958517435392,15.863999999999976,1
345.988,4.156277652596722,45.742000000000004,2
344.7,4.1442410311140305,78.44200000000001,5
436.76899999999995,6.583282200746536,15.864,1
477.849,8.664346319790848,15.620000000000005,1
271.18,2.914747894116235,31.471000000000004,2
394.04799999999994,5.202954509092848,31.214,2
230.47000000000003,2.476917358761407,31.0,2
394.93899999999996,5.211873986861189,31.433999999999997,2
244.935,2.7450360142774706,52.337999999999994,3
386.63899999999995,5.113706005021918,31.069999999999993,2
419.45700000000005,6.368431156730745,31.15,2
345.98,4.169824458533368,46.757,3
509.606,11.915372587658233,15.606999999999971,1
510.865,11.929931536157468,31.24000000000001,2
428.28799999999995,6.469973690260288,31.43399999999997,2
263.34499999999997,2.8788750080264838,46.607,3
352.76,4.22240593399165,47.053999999999974,3
433.833,6.550504727421604,31.107000000000028,2
375.35600000000005,4.975133967339504,31.728,2
386.32000000000005,5.133223490643757,31.159999999999997,2
352.317,4.208365205988416,31.444000000000003,2
396.195,5.214302429477088,31.727999999999952,2
518.263,12.109603429796358,15.579999999999984,1
468.625,8.461231053368996,15.864000000000004,1
353.537,4.244649412628487,31.069999999999993,2
426.871,6.450483924512883,15.864000000000004,1
189.208,2.104580428970075,46.620000000000005,3
467.91999999999996,8.438518400763057,15.864000000000004,1
271.56600000000003,2.932881606855614,68.151,4
312.29699999999997,3.502018939576023,46.727000000000004,3
314.106,3.513491453812177,31.471,2
470.9140000000001,8.563668486990041,31.120000000000005,2
311.529,3.4925510465339564,15.864000000000004,1
409.56500000000005,6.255752178320737,15.620000000000005,1
328.757,4.003965607039409,47.063999999999965,3
431.65000000000003,6.551054526748971,31.19,2
179.296,2.0418794925881376,52.33500000000001,3
419.6069999999999,6.362321248290756,31.444000000000017,2
396.97799999999995,5.231227550335213,31.186999999999955,2
396.37199999999996,5.233793700131381,31.149999999999977,2
386.76200000000006,5.120714270493725,31.187000000000012,2
468.52299999999997,8.514764142621138,31.159999999999968,2
394.272,5.19014825442372,31.189999999999998,2
270.57,2.9186368084412364,31.72800000000001,2
269.89300000000003,2.923671249670352,36.864,2
387.514,5.144800735876099,31.200000000000017,2
379.249,5.04787012626613,15.863999999999976,1
469.16399999999993,8.422071758526862,31.727999999999952,2
352.184,4.204906769558373,31.471000000000004,2
395.333,5.2027640461383085,31.433999999999997,2
511.663,11.951690924657536,15.579999999999984,1
387.107,5.114132976236024,31.470999999999947,2
471.423,8.535052106642796,31.120000000000005,2
543.7059999999999,18.426474358974357,31.200000000000017,2
552.438,18.7120230843219,31.189999999999998,2
478.092,8.595754821899527,15.864,1
469.48699999999997,8.494046098837952,15.863999999999976,1
355.497,4.245421680147529,31.444000000000003,2
396.01099999999997,5.232967056459371,31.48399999999998,2
303.919,3.4325585490403236,31.471000000000004,2
419.11300000000006,6.362381330126155,15.864000000000004,1
230.36700000000002,2.4787590509936837,31.200000000000017,2
410.418,6.251132321707311,31.471000000000004,2
437.142,6.585194460060307,31.43399999999997,2
434.96400000000006,6.567824272602758,46.943999999999996,3
430.079,6.52041536704019,31.139999999999986,2
477.521,8.643882761601382,15.863999999999976,1
387.17800000000005,5.132499386280433,31.44399999999996,2
470.08599999999996,8.496069270143995,15.863999999999976,1
313.88899999999995,3.5119560172217863,31.48400000000001,2
378.146,5.039244589715653,31.214,2
296.142,3.374245376049258,31.186999999999998,2
347.934,4.193607901089521,15.620000000000005,1
273.699,2.9451421017845343,36.84800000000001,2
172.751,2.005430164476364,46.769999999999996,3
471.68500000000006,8.550946899963181,15.620000000000005,1
311.996,3.470198885229288,31.72800000000001,2
396.635,5.218533960136989,46.971000000000004,3
420.15,6.392484020843495,62.307,4
263.20300000000003,2.8737977432100523,45.388000000000005,2
386.355,5.127988973652157,31.149999999999977,2
545.1909999999999,18.541537966537966,15.58,1
427.98499999999996,6.489802462801437,31.24000000000001,2
469.87600000000003,8.541303545348036,15.620000000000005,1
471.693,8.539367687488014,46.98399999999998,3
376.153,5.028628038984685,31.150000000000006,2
436.634,6.6067131502240715,31.189999999999998,2
347.09000000000003,4.1706982862571715,62.64799999999997,4
302.28200000000004,3.4146244048950374,47.054,3
343.94100000000003,4.140497452473567,15.864000000000004,1
302.6700000000001,3.4229494548423767,31.200000000000017,2
377.632,5.03263423177139,31.176999999999964,2
353.726,4.243585746510902,31.189999999999998,2
353.95799999999997,4.239356444704762,46.677,3
346.515,4.184265904558863,46.714,3
427.65200000000004,6.469814795866162,15.864,1
394.72800000000007,5.216954222530848,15.607000000000028,1
460.92699999999996,8.392574178027266,46.73000000000002,3
471.33199999999994,8.574396965947258,15.620000000000005,1
377.373,5.013112139097145,15.864000000000004,1
386.46099999999996,5.106132727002273,15.864000000000004,1
478.94499999999994,8.69673935751362,15.620000000000005,1
395.898,5.220166078604854,31.189999999999998,2
519.0230000000001,12.107560939071629,15.620000000000005,1
458.94,8.321485546550955,15.864000000000004,1
344.58099999999996,4.158656534452888,31.069999999999993,2
511.95,11.868503736413045,15.864000000000004,1
253.291,2.7987118124103447,31.433999999999997,2
394.787,5.205006124514033,31.470999999999947,2
344.17100000000005,4.124396310686662,31.48400000000001,2
255.55800000000002,2.8193713736517996,46.727000000000004,3
270.232,2.915153576845119,47.053999999999995,3
327.659,4.003373144999404,31.139999999999986,2
384.573,5.071451257728465,31.72800000000001,2
427.51300000000003,6.464751824724215,15.864000000000004,1
436.427,6.597586158246438,15.620000000000005,1
394.682,5.194505552898666,31.189999999999998,2
352.57200000000006,4.216076184916262,47.064,3
503.64400000000006,11.74692727893479,15.863999999999976,1
478.414,8.684501341214643,15.607,1
344.50600000000003,4.156319859273647,31.471000000000004,2
354.862,4.242081220592938,31.187000000000012,2
346.02000000000004,4.166419590402461,31.363999999999976,2
386.94500000000005,5.142126165473093,46.84700000000004,3
517.8670000000001,12.063170262764368,15.620000000000005,1
262.037,2.8676773508385542,31.364000000000004,2
304.81500000000005,3.44221262548974,31.226999999999975,2
212.44700000000003,2.360609961509149,31.444000000000003,2
380.707,5.0724295066535445,15.864000000000004,1
514.341,11.997241821680566,15.620000000000005,1
344.10800000000006,4.142022315966326,31.19999999999999,2
428.58000000000004,6.485894219446009,31.364000000000004,2
354.135,4.252615336572462,31.10699999999997,2
450.02700000000004,8.17471781136407,31.48400000000001,2
395.253,5.225451940860157,62.541,4
353.953,4.239221751425355,31.176999999999992,2
344.459,4.142042707677713,31.444000000000017,2
253.927,2.809099393706229,31.150000000000006,2
346.337,4.169610498956693,31.176999999999992,2
468.89300000000003,8.531570747064588,15.607,1
544.374,18.520888316704216,15.569999999999993,1
344.538,4.157972887507906,31.213999999999942,2
