quarter,n,pf,exp,net,wr,mdd
MQ1  18:00:00,31,0.777680726910992,-2.364645161290323,-73.30400000000002,32.25806451612903,148.98400000000004
MQ2  18:22:30,36,0.9244119718796181,-0.7601111111111112,-27.364000000000004,36.11111111111111,129.486
MQ3  18:45:00,25,5.125014668074803,15.467320000000003,386.68300000000005,76.0,15.863999999999976
MQ4  19:07:30,32,1.2857921220473705,2.5079062499999996,80.25299999999999,43.75,83.065
