phase,n,pf,exp,net,wr,mdd
0.0,25,5.125014668074803,15.467320000000003,386.68300000000005,76.0,15.863999999999976
2.5,20,4.832515353187553,14.915000000000003,298.30000000000007,75.0,15.619999999999997
5.0,15,4.522443550584125,14.653600000000004,219.80400000000006,73.33333333333333,31.254000000000005
7.5,19,1.196766078099853,1.7824210526315794,33.86600000000001,42.10526315789473,63.95
10.0,24,0.8231334344805558,-1.84575,-44.298,33.33333333333333,146.713
12.5,22,0.7699497132248683,-2.455818181818182,-54.028000000000006,31.818181818181817,109.632
15.0,27,1.137003509331632,1.2724074074074072,34.355,40.74074074074074,94.098
17.5,32,1.4239442810291782,3.52659375,112.851,46.875,78.481
20.0,28,2.9094267035614547,10.671035714285717,298.78900000000004,64.28571428571429,47.247
22.5,23,5.824442624209691,16.38926086956522,376.95300000000003,78.26086956521739,15.863999999999976
