perm,best_pf,best_exp,median_pf,n_cells
0,2.096256879064902,7.532312500000001,0.9405847075784213,29
1,4.620326917168978,14.858608695652176,1.0443940946647026,29
2,2.3336467470857865,8.321333333333333,1.0072510307837876,29
3,3.8111878569029227,13.39025,0.9754472382916165,29
4,3.093991976489994,11.369739130434784,1.1304209853096976,29
5,1.9943677512059934,7.045909090909091,0.9888399387723084,29
6,1.8783687116712349,6.428470588235293,1.1537629868468189,29
7,2.5884909201448547,9.692612903225806,1.1987263933776102,29
8,2.324355465936915,8.560862068965516,0.8844351209542712,29
9,2.2021856366343475,8.035809523809524,0.8779033230303576,29
10,1.480052583172422,3.83821052631579,0.960639834117081,29
11,3.3133214510110665,12.027266666666666,0.8678776937831434,29
12,2.1959519952251023,8.014928571428571,1.0148096013138022,29
13,2.57280196721609,9.629611111111112,0.8962770055317723,29
14,2.398697839252511,8.887481481481482,1.2200875781020128,29
15,2.5459730633643685,9.501722222222222,1.1486921747338743,29
16,3.2879298009343043,12.080777777777778,1.0631540037694347,29
17,2.8123604480185884,10.509210526315789,1.1875980340897208,29
18,2.1603340741271775,7.765400000000001,1.060677796661002,29
19,1.9539293661075836,6.56788,1.0050685714926495,29
20,2.231126193670587,8.210315789473682,1.0526313927740165,29
21,1.9907572646620486,7.040636363636364,1.0019858687297853,29
22,2.295316348697067,8.383058823529412,1.1226687220844092,29
23,2.58120660786844,9.2665625,1.01362985969693,29
24,2.29428727488875,8.480578947368421,0.9652221242093805,29
25,3.0540075090654315,11.295470588235293,1.0905170399262405,29
26,2.841228502008861,10.540363636363637,1.005565790267676,29
27,2.6068133878878745,9.727153846153845,1.0421965232546118,29
28,2.3243172245119803,8.599882352941178,0.9380808215112846,28
29,2.2240419088725685,8.115115384615384,1.1434194446812744,29
30,3.1352561388653686,11.207722222222223,0.9160745531697848,29
31,2.7342014011747224,10.210833333333333,0.9417740983291459,29
32,3.5926379129820485,12.845062500000001,0.968705998708981,29
33,2.7529600237650653,10.3266875,0.8623890265681333,28
34,1.6530443782661421,5.1423000000000005,0.7585563125090594,29
35,2.465961475468774,9.1745,1.0974400688213073,29
36,2.8812677014604198,10.80890909090909,0.9364838515262169,29
37,2.711893236824248,9.958263157894736,1.0181797920944968,29
38,3.4262741454976458,11.652461538461539,1.0002896816887317,29
39,2.3441451545794965,8.741529411764706,1.0426532053582802,29
40,2.115923660476479,7.594,1.1594711805399243,29
41,1.642614293724758,5.0297777777777775,0.8299896412489696,29
42,2.6059696557337437,9.71376923076923,0.8616915089037821,29
43,3.2528698112181056,11.831428571428573,1.0840871813278932,29
44,5.509830627974426,15.635833333333332,1.103050170802991,28
45,2.001186039820059,7.132999999999998,0.8127264304465059,29
46,1.646323698911652,5.068346153846154,0.926143899862597,29
47,2.7396816947889495,10.2135625,1.0865863549314432,29
48,2.5745020996013954,9.634652173913043,0.9875258062854404,29
49,3.0150644638095505,10.471714285714285,1.0240531466077567,29
50,2.06025397892311,7.361166666666666,1.0543895409610844,29
51,2.0244372415905265,6.980782608695652,1.0770124014551523,29
52,3.509085594930031,12.136793103448275,0.8702229231851984,29
53,3.2196545284780576,11.62211111111111,1.0139968512020217,29
54,3.695295544491255,12.992153846153847,1.005407797060125,29
55,3.3488709999517967,11.761931034482759,1.1569689784034456,29
