spread_max,n,pf,exp,net,wr,mdd
99.0,34,2.9742412513680154,10.876617647058824,369.805,64.70588235294117,46.94999999999999
3.0,34,2.9742412513680154,10.876617647058824,369.805,64.70588235294117,46.94999999999999
2.5,29,4.2571577303487755,14.02431034482759,406.7050000000001,72.41379310344827,31.176999999999992
2.0,29,4.2571577303487755,14.02431034482759,406.7050000000001,72.41379310344827,31.176999999999992
1.75,28,4.862914070862035,15.080678571428574,422.25900000000007,75.0,31.176999999999992
1.6,26,5.398139554730588,15.857153846153848,412.28600000000006,76.92307692307693,15.863999999999976
1.5,25,5.125014668074803,15.467320000000003,386.68300000000005,76.0,15.863999999999976
1.4,22,4.30012481198195,14.061681818181823,309.3570000000001,72.72727272727273,15.863999999999976
1.25,21,4.026007830085021,13.507666666666667,283.661,71.42857142857143,15.864000000000004
1.0,15,3.184881287157954,11.343466666666666,170.152,66.66666666666666,15.619999999999997
