anchor_start,n,pf,exp,net,wr,mdd
1065,0,,,0.0,,
1070,28,0.6565116316354834,-3.825785714285715,-107.12200000000001,28.57142857142857,158.252
1075,32,0.7452491994988166,-2.7448125,-87.834,31.25,199.25400000000005
1080,31,0.777680726910992,-2.364645161290323,-73.30400000000002,32.25806451612903,148.98400000000004
1085,29,0.7382803124609985,-2.8201379310344836,-81.78400000000002,31.03448275862069,161.93300000000002
1090,29,0.26448017028904325,-9.96106896551724,-288.871,13.793103448275861,325.78099999999995
1095,24,0.8101695989353528,-1.9969999999999992,-47.92799999999998,33.33333333333333,71.28099999999999
1100,30,0.8158663883089771,-1.9256999999999995,-57.77099999999999,33.33333333333333,125.484
1105,24,1.1780195011110248,1.6256666666666668,39.016000000000005,41.66666666666667,62.86
1110,26,1.4134187196608856,3.4885384615384614,90.702,46.15384615384615,62.407
1115,32,1.0710637524729825,0.6600312500000001,21.121000000000002,40.625,78.24000000000001
1120,21,2.2181407056615043,8.157714285714286,171.312,57.14285714285714,47.379999999999995
1125,25,5.125014668074803,15.467320000000003,386.68300000000005,76.0,15.863999999999976
1130,20,0.7950264941466423,-2.0791999999999997,-41.583999999999996,35.0,124.994
1135,24,1.0842350750525986,0.7690416666666667,18.457,41.66666666666667,124.74600000000001
1140,28,0.8441488264946997,-1.5657142857142843,-43.83999999999996,35.714285714285715,109.283
1145,34,0.9528295299649973,-0.457,-15.538,38.23529411764706,83.9
1150,32,1.2853417129349483,2.51984375,80.635,43.75,67.958
1155,27,0.9533948585181137,-0.4640370370370373,-12.529000000000007,37.03703703703704,67.767
1160,37,1.3938122605363985,3.333567567567567,123.34199999999998,45.94594594594595,109.028
1165,29,1.085201676368218,0.7858620689655171,22.789999999999996,41.37931034482759,68.081
1170,31,1.2676658731134485,2.3175806451612897,71.84499999999998,45.16129032258064,96.712
1175,36,0.9217609297338027,-0.7498888888888879,-26.995999999999967,38.88888888888889,133.178
1180,32,0.8591689293256483,-1.3858437500000003,-44.34700000000001,34.375,175.57800000000003
1185,41,1.0480879986167086,0.4409024390243905,18.077000000000012,39.02439024390244,189.90800000000002
1190,35,0.5996782598497866,-4.486371428571428,-157.023,28.57142857142857,230.54199999999997
1195,36,0.96177708682817,-0.3715277777777779,-13.375000000000004,38.88888888888889,137.564
1200,37,0.8929943584280493,-1.0831891891891892,-40.077999999999996,35.13513513513514,153.76500000000001
1205,26,0.8687864852182074,-1.3443076923076918,-34.951999999999984,34.61538461538461,91.22800000000001
1210,35,1.552557907312637,4.426857142857143,154.94,48.57142857142857,62.65699999999998
