date,sig_hm,kind,entry,dist25,exit_reason,pnl
2025-09-22,1160,FLIP_LONG,3746.885,3.1149999999997817,TP,25.58
2025-10-08,1150,A_SHORT,4020.365,4.635000000000218,SL,-15.587
2025-10-27,1160,FLIP_LONG,3994.885,5.114999999999782,SL,-16.54
2026-02-03,1145,FLIP_LONG,4970.325,4.675000000000182,TP,25.73
2026-02-11,1155,A_SHORT,5055.885,5.885000000000218,SL,-15.577
2026-02-18,1155,A_SHORT,4968.805,6.194999999999709,SL,-15.9
2026-05-07,1155,FLIP_LONG,4694.325,5.675000000000182,TP,25.53
2026-05-18,1145,FLIP_LONG,4580.552,5.55199999999968,SL,-15.537
2026-06-02,1150,A_SHORT,4477.165,2.1649999999999636,SL,-15.51
2026-07-30,1160,A_SHORT,4105.595,5.595000000000255,TP,25.56
2026-08-17,1165,FLIP_LONG,4420.695,4.305000000000291,SL,-16.01
