win_min,n,pf,exp,net,wr,mdd
10,19,6.034909172245212,16.58631578947369,315.1400000000001,78.94736842105263,15.863999999999976
15,21,5.159491306406008,15.481428571428571,325.11,76.19047619047619,15.864000000000004
20,23,4.576161978216575,14.57534782608696,335.23300000000006,73.91304347826086,15.863999999999976
25,24,4.848188092723569,15.030541666666666,360.733,75.0,15.863999999999976
30,25,5.125014668074803,15.467320000000003,386.68300000000005,76.0,15.863999999999976
35,25,5.125014668074803,15.467320000000003,386.68300000000005,76.0,15.863999999999976
45,26,4.394215730213755,14.272807692307696,371.0930000000001,73.07692307692307,31.16999999999996
60,26,4.394215730213755,14.272807692307696,371.0930000000001,73.07692307692307,31.16999999999996
90,26,4.394215730213755,14.272807692307696,371.0930000000001,73.07692307692307,31.16999999999996
