group,n,p_tp,pf,exp,net,mfe50,mfe75,mfe90,mae50,mae75,mae90,mdd,mo_pos
PASS ALL FILTERS,25,72.0,5.125014668074803,15.467320000000003,386.68300000000005,59.404,84.373,139.55920000000006,32.63,50.25,67.09600000000002,15.863999999999976,9/12
FAIL BODY ONLY,16,50.0,1.9450475207932003,6.4695,103.512,49.725,71.01075,189.7615,31.35,46.72925,81.357,31.704,7/11
FAIL SPREAD ONLY,9,33.33333333333333,0.8196293842306622,-1.8753333333333333,-16.878,30.5,37.14,62.392,59.99,106.83,119.3626,62.45,2/5
FAIL $25 DISTANCE ONLY,22,31.818181818181817,0.7699497132248683,-2.455818181818182,-54.028000000000006,34.45,68.90424999999999,98.32830000000003,45.266,63.49675,111.63500000000005,109.632,4/11
FAIL SIGNAL WINDOW ONLY,1,0.0,0.0,-15.59,-15.59,2.81,2.81,2.81,86.33,86.33,86.33,15.59,0/1
FAIL TWO FILTERS,43,37.2093023255814,1.064762751699168,0.5927674418604649,25.488999999999994,28.6,52.783,128.3786000000001,32.28,62.183499999999995,99.65560000000002,123.05599999999998,6/12
FAIL THREE OR MORE,12,25.0,0.5297045796253403,-5.7867500000000005,-69.441,44.295,87.12774999999999,151.43800000000002,96.26849999999999,105.985,146.65,90.93700000000001,3/8
ALL BEARISH ANCHORS,128,42.96875,1.330492467740543,2.8105234374999997,359.74699999999996,33.674499999999995,68.374,133.97899999999998,43.065,71.66425000000001,104.856,152.87,6/13
