date,kind,long,anchor_open,anchor_close,anchor_body,anchor_range,anchor_dir,body_high,body_low,sig_hm,sig_open,sig_close,entry_bid,entry_ask,entry_spread,entry,nearest25,dist25,t_entry,t_exit,stop_price,target_price,exit_price,exit_reason,mfe,mae,pnl,hold_min
2025-08-27,FLIP_LONG,True,3397.23,3395.87,1.3600000000001273,1.7,BEAR,3397.23,3395.87,1140,3395.85,3398.14,3397.748,3398.632,0.8840000000000146,3398.632,3400.0,1.3679999999999382,2025-08-27 19:05:00.260,2025-08-28 16:59:59.428,-6601.368,13398.632,3415.795,EOD,24.437,-14.187,17.163,1314.9861333333333
2025-09-01,FLIP_LONG,True,3477.645,3475.226,2.418999999999869,3.259,BEAR,3477.645,3475.226,1160,3477.505,3479.991,3479.498,3480.445,0.9470000000001164,3480.445,3475.0,5.445000000000164,2025-09-01 19:25:00.397,2025-09-02 16:59:59.049,-6519.555,13480.445,3532.405,EOD,59.404,-10.64,51.96,1294.9775333333334
2025-10-21,A_SHORT,False,4125.205,4123.3,1.9049999999997453,7.588,BEAR,4125.205,4123.3,1140,4123.083,4119.758,4118.898,4120.352,1.4539999999997235,4118.898,4125.0,6.101999999999862,2025-10-21 19:05:00.120,2025-10-22 16:59:59.008,14118.898000000001,-5881.102,4099.135,EOD,113.473,-42.857,19.763,1314.9814666666666
2025-11-30,A_SHORT,False,4223.605,4222.04,1.5649999999995998,3.06,BEAR,4223.605,4222.04,1140,4221.935,4221.705,4221.325,4221.925,0.6000000000003638,4221.325,4225.0,3.675000000000182,2025-11-30 19:05:00.000,2025-12-01 16:59:59.828,14221.325,-5778.675,4231.855,EOD,5.383,-43.63,-10.53,1314.9971333333333
2025-12-01,A_SHORT,False,4230.83,4227.606,3.22400000000016,6.325,BEAR,4230.83,4227.606,1140,4227.701,4225.515,4225.185,4225.895,0.7100000000000364,4225.185,4225.0,0.18500000000040018,2025-12-01 19:05:01.081,2025-12-02 16:59:59.818,14225.185000000001,-5774.815,4206.535000000001,EOD,61.1,-5.77,18.65,1314.97895
2025-12-14,A_SHORT,False,4306.01,4302.47,3.5399999999999636,5.245,BEAR,4306.01,4302.47,1145,4303.395,4300.545,4300.375,4301.075,0.6999999999998181,4300.375,4300.0,0.375,2025-12-14 19:10:00.076,2025-12-15 16:59:59.899,14300.375,-5699.625,4305.695,EOD,14.773,-50.25,-5.32,1309.99705
2025-12-15,A_SHORT,False,4306.92,4304.37,2.550000000000182,4.58,BEAR,4306.92,4304.37,1140,4304.355,4303.293,4302.915,4303.602,0.6869999999998981,4302.915,4300.0,2.9149999999999636,2025-12-15 19:05:00.264,2025-12-16 16:59:58.925,14302.915,-5697.085,4302.325,EOD,30.95,-32.63,0.59,1314.9776833333333
2025-12-28,A_SHORT,False,4532.519,4527.161,5.358000000000175,8.803,BEAR,4532.519,4527.161,1140,4527.171,4520.311,4519.898,4520.965,1.0670000000000073,4519.898,4525.0,5.101999999999862,2025-12-28 19:05:00.011,2025-12-29 16:59:59.061,14519.898000000001,-5480.102,4332.8550000000005,EOD,216.913,-7.157,187.043,1314.9841666666666
2026-01-11,FLIP_LONG,True,4542.545,4540.27,2.274999999999636,5.575,BEAR,4542.545,4540.27,1140,4540.195,4545.263,4544.735,4545.602,0.8670000000001892,4545.602,4550.0,4.398000000000138,2026-01-11 19:05:00.426,2026-01-12 16:59:59.784,-5454.398,14545.601999999999,4598.545,EOD,84.373,-1.737,52.943,1314.9893
2026-02-26,A_SHORT,False,5185.855,5184.775,1.0799999999999272,6.235,BEAR,5185.855,5184.775,1140,5184.8,5180.36,5179.955,5180.805,0.8500000000003638,5179.955,5175.0,4.954999999999927,2026-02-26 19:05:00.290,2026-02-27 16:59:59.799,15179.955,-4820.045,5280.021,EOD,12.58,-103.006,-100.066,1314.9918166666666
2026-04-19,A_SHORT,False,4780.365,4779.36,1.0050000000001091,8.706,BEAR,4780.365,4779.36,1140,4779.37,4776.18,4775.618,4776.882,1.2639999999992142,4775.618,4775.0,0.6180000000003929,2026-04-19 19:05:00.102,2026-04-20 16:59:58.793,14775.618,-5224.382,4822.395,EOD,38.253,-52.474,-46.777,1314.9781833333334
2026-04-20,A_SHORT,False,4830.67,4827.86,2.8100000000004,6.47,BEAR,4830.67,4827.86,1140,4827.64,4826.57,4826.178,4827.162,0.9840000000003783,4826.178,4825.0,1.1779999999998836,2026-04-20 19:05:00.045,2026-04-21 16:59:59.050,14826.178,-5173.822,4722.205,EOD,157.057,-5.097,103.973,1314.9834166666667
2026-04-22,A_SHORT,False,4730.1,4726.12,3.980000000000473,6.235,BEAR,4730.1,4726.12,1140,4726.13,4724.635,4724.068,4725.032,0.9639999999999418,4724.068,4725.0,0.931999999999789,2026-04-22 19:05:01.704,2026-04-23 16:59:59.026,14724.068,-5275.932,4693.3550000000005,EOD,59.233,-30.147,30.713,1314.9553666666666
2026-04-30,A_SHORT,False,4632.54,4630.53,2.0100000000002183,3.88,BEAR,4632.54,4630.53,1140,4630.455,4629.54,4628.818,4630.302,1.4839999999994689,4628.818,4625.0,3.818000000000211,2026-04-30 19:05:00.034,2026-05-01 16:59:55.123,14628.818,-5371.182,4615.202,EOD,68.233,-31.857,13.616,1314.91815
2026-05-04,FLIP_LONG,True,4519.121,4517.575,1.5460000000002765,3.87,BEAR,4519.121,4517.575,1145,4518.305,4519.61,4519.008,4520.102,1.094000000000051,4520.102,4525.0,4.898000000000138,2026-05-04 19:10:01.083,2026-05-05 16:59:58.431,-5479.898,14520.101999999999,4554.875,EOD,66.313,-6.837,34.773,1309.9558
2026-05-06,A_SHORT,False,4698.67,4695.063,3.606999999999971,4.115,BEAR,4698.67,4695.063,1150,4697.22,4694.465,4694.075,4694.775,0.6999999999998181,4694.075,4700.0,5.925000000000182,2026-05-06 19:15:00.145,2026-05-07 16:59:59.837,14694.075,-5305.925,4686.3949999999995,EOD,8.69,-71.04,7.68,1304.9948666666667
2026-05-17,A_SHORT,False,4549.85,4546.301,3.548999999999978,10.95,BEAR,4549.85,4546.301,1140,4546.306,4545.555,4544.895,4546.135,1.2399999999997817,4544.895,4550.0,5.104999999999563,2026-05-17 19:05:00.100,2026-05-18 16:59:59.798,14544.895,-5455.105,4567.885,EOD,64.14,-39.66,-22.99,1314.9949666666666
2026-05-27,A_SHORT,False,4458.595,4457.576,1.0190000000002328,3.41,BEAR,4458.595,4457.576,1140,4457.591,4456.745,4455.815,4456.952,1.1370000000006257,4455.815,4450.0,5.8149999999996,2026-05-27 19:05:02.337,2026-05-28 16:59:58.623,14455.814999999999,-5544.185,4496.665,EOD,88.96,-61.18,-40.85,1314.9381
2026-05-28,FLIP_LONG,True,4495.661,4491.331,4.329999999999927,5.203,BEAR,4495.661,4491.331,1155,4494.861,4495.981,4495.508,4496.442,0.9340000000001965,4496.442,4500.0,3.5579999999999927,2026-05-28 19:20:00.790,2026-05-29 16:59:58.020,-5503.558,14496.442,4537.498,EOD,98.223,-7.757,41.056,1299.9538333333333
2026-06-04,A_SHORT,False,4475.25,4469.74,5.510000000000218,7.373,BEAR,4475.25,4469.74,1165,4471.793,4469.445,4469.095,4469.845,0.75,4469.095,4475.0,5.904999999999745,2026-06-04 19:30:00.245,2026-06-05 16:59:58.277,14469.095000000001,-5530.905,4332.305,EOD,156.95,-7.15,136.79,1289.9672
2026-06-24,A_SHORT,False,4002.206,3996.44,5.766000000000076,9.606,BEAR,4002.206,3996.44,1140,3996.515,3995.525,3994.948,3996.192,1.2440000000001419,3994.948,4000.0,5.052000000000135,2026-06-24 19:05:02.094,2026-06-25 16:59:59.346,13994.948,-6005.052,4029.395,EOD,31.633,-49.537,-34.447,1314.9542
2026-06-25,A_SHORT,False,4028.535,4026.455,2.0799999999999272,8.22,BEAR,4028.535,4026.455,1140,4026.405,4023.64,4023.008,4024.222,1.2140000000003965,4023.008,4025.0,1.9920000000001892,2026-06-25 19:05:00.776,2026-06-26 16:59:58.849,14023.008,-5976.992,4090.9249999999997,EOD,39.603,-73.537,-67.917,1314.9678833333332
2026-07-14,A_SHORT,False,4050.77,4049.035,1.7350000000001273,2.535,BEAR,4050.77,4049.035,1150,4049.25,4047.675,4047.295,4048.115,0.819999999999709,4047.295,4050.0,2.7049999999999272,2026-07-14 19:15:00.977,2026-07-15 16:59:59.661,14047.295,-5952.705,4060.715,EOD,29.49,-34.34,-13.42,1304.9780666666666
2026-07-20,FLIP_LONG,True,4004.165,4000.48,3.6849999999999454,8.985,BEAR,4004.165,4000.48,1140,4000.67,4004.44,4003.795,4005.225,1.4299999999998363,4005.225,4000.0,5.224999999999909,2026-07-20 19:05:00.007,2026-07-21 16:59:59.678,-5994.775,14005.225,4076.995,EOD,81.55,-5.08,71.77,1314.9945166666666
2026-08-02,FLIP_LONG,True,4066.945,4064.135,2.8099999999999454,3.5,BEAR,4066.945,4064.135,1155,4066.61,4071.98,4071.525,4072.405,0.8800000000001091,4072.405,4075.0,2.5949999999998,2026-08-02 19:20:00.080,2026-08-03 16:59:59.798,-5927.594999999999,14072.405,4054.405,EOD,6.75,-53.49,-18.0,1299.9953
