date,kind,long,anchor_open,anchor_close,anchor_body,anchor_range,anchor_dir,body_high,body_low,sig_hm,sig_open,sig_close,entry_bid,entry_ask,entry_spread,entry,nearest25,dist25,t_entry,t_exit,stop_price,target_price,exit_price,exit_reason,mfe,mae,pnl,hold_min,ym
2025-08-27,FLIP_LONG,True,3397.23,3395.87,1.3600000000001273,1.7,BEAR,3397.23,3395.87,1140,3395.85,3398.14,3397.748,3398.632,0.8840000000000146,3398.632,3400.0,1.3679999999999382,2025-08-27 19:05:00.260,2025-08-28 16:59:59.428,3383.132,3424.132,3415.795,EOD,24.437,-14.187,17.163,1314.9861333333333,2025-08
2025-09-01,FLIP_LONG,True,3477.645,3475.226,2.418999999999869,3.259,BEAR,3477.645,3475.226,1160,3477.505,3479.991,3479.498,3480.445,0.9470000000001164,3480.445,3475.0,5.445000000000164,2025-09-01 19:25:00.397,2025-09-01 21:46:35.058,3464.945,3505.945,3505.945,TP,59.404,-10.64,25.5,141.57768333333334,2025-09
2025-10-21,A_SHORT,False,4125.205,4123.3,1.9049999999997453,7.588,BEAR,4125.205,4123.3,1140,4123.083,4119.758,4118.898,4120.352,1.4539999999997235,4118.898,4125.0,6.101999999999862,2025-10-21 19:05:00.120,2025-10-21 19:58:40.488,4134.398,4093.398,4092.625,TP,113.473,-42.857,26.273,53.6728,2025-10
2025-11-30,A_SHORT,False,4223.605,4222.04,1.5649999999995998,3.06,BEAR,4223.605,4222.04,1140,4221.935,4221.705,4221.325,4221.925,0.6000000000003638,4221.325,4225.0,3.675000000000182,2025-11-30 19:05:00.000,2025-11-30 20:28:39.304,4236.825,4195.825,4236.825,SL,5.383,-43.63,-15.5,83.65506666666667,2025-11
2025-12-01,A_SHORT,False,4230.83,4227.606,3.22400000000016,6.325,BEAR,4230.83,4227.606,1140,4227.701,4225.515,4225.185,4225.895,0.7100000000000364,4225.185,4225.0,0.18500000000040018,2025-12-01 19:05:01.081,2025-12-02 04:23:07.175,4240.685,4199.685,4199.334000000001,TP,61.1,-5.77,25.851,558.1015666666667,2025-12
2025-12-14,A_SHORT,False,4306.01,4302.47,3.5399999999999636,5.245,BEAR,4306.01,4302.47,1145,4303.395,4300.545,4300.375,4301.075,0.6999999999998181,4300.375,4300.0,0.375,2025-12-14 19:10:00.076,2025-12-14 20:23:07.331,4315.875,4274.875,4315.995,SL,14.773,-50.25,-15.62,73.12091666666667,2025-12
2025-12-15,A_SHORT,False,4306.92,4304.37,2.550000000000182,4.58,BEAR,4306.92,4304.37,1140,4304.355,4303.293,4302.915,4303.602,0.6869999999998981,4302.915,4300.0,2.9149999999999636,2025-12-15 19:05:00.264,2025-12-16 00:30:10.533,4318.415,4277.415,4277.345,TP,30.95,-32.63,25.57,325.17115,2025-12
2025-12-28,A_SHORT,False,4532.519,4527.161,5.358000000000175,8.803,BEAR,4532.519,4527.161,1140,4527.171,4520.311,4519.898,4520.965,1.0670000000000073,4519.898,4525.0,5.101999999999862,2025-12-28 19:05:00.011,2025-12-28 19:25:00.360,4535.398,4494.398,4493.741,TP,216.913,-7.157,26.157,20.005816666666668,2025-12
2026-01-11,FLIP_LONG,True,4542.545,4540.27,2.274999999999636,5.575,BEAR,4542.545,4540.27,1140,4540.195,4545.263,4544.735,4545.602,0.8670000000001892,4545.602,4550.0,4.398000000000138,2026-01-11 19:05:00.426,2026-01-11 19:32:26.574,4530.102,4571.102,4571.135,TP,84.373,-1.737,25.533,27.4358,2026-01
2026-02-26,A_SHORT,False,5185.855,5184.775,1.0799999999999272,6.235,BEAR,5185.855,5184.775,1140,5184.8,5180.36,5179.955,5180.805,0.8500000000003638,5179.955,5175.0,4.954999999999927,2026-02-26 19:05:00.290,2026-02-26 21:00:01.544,5195.455,5154.455,5195.562,SL,12.58,-103.006,-15.607,115.0209,2026-02
