label,n,net,pf,win,exp,max_dd,mar,r2,tstat,sharpe
AS SUPPLIED  (A-short + Flip),206,148.45999999999987,1.0677669321472525,36.89320388349515,0.7206796116504848,606.1959999999997,0.24490428838197537,0.0006435695860913184,0.4177533837632266,0.029106257429987584
Logic A short only,75,60.539,1.0725397603296574,36.0,0.8071866666666667,389.86,0.15528394808392756,0.0014096097115806926,0.2691489678707866,0.031078645810461714
Logic A both directions,156,142.37900000000008,1.085983472312137,37.82051282051282,0.9126858974358979,427.5490000000001,0.33301212258711876,0.031185848329410716,0.4555720964543851,0.03647495936517688
Flip only (both directions),146,298.403,1.2038464008219356,40.41095890410959,2.0438561643835618,213.617,1.3969066132377106,0.3179589564075243,0.9943915999924459,0.08229643437304786
All three (A both + Flip),271,148.9679999999998,1.0518106134407517,37.269372693726936,0.549697416974169,619.8419999999998,0.24033221369316674,5.697576213391944e-05,0.367389749524438,0.022317337927293065
