set,sl,tp,n_tr,net_tr,exp_tr,pf_tr,dd_tr,mar_tr,r2_tr,t_tr,n_te,net_te,exp_te,pf_te,dd_te,mar_te,r2_te,n_f,net_f,exp_f,pf_f,dd_f,mar_f,r2_f,t_f
A_short_only,2,3,65,-65.41799999999999,-1.006430769230769,0.42196971035750264,68.42099999999999,-0.9561099662384356,0.9493396253938731,-3.367161505939651,36,-12.417000000000002,-0.3449166666666667,0.7523040095751047,27.110000000000007,-0.45802286978974543,0.8123944782559018,101,-77.83500000000001,-0.7706435643564358,0.5233735854602458,88.018,-0.8843077552318844,0.9649158552447857,-3.158626116515918
A_short_only,2,4,65,-62.841,-0.9667846153846154,0.46445828823684815,62.841,-1.0,0.9447806442556167,-2.8993418650064267,36,-12.07,-0.3352777777777778,0.778125,33.980000000000004,-0.3552089464390818,0.7704378560796699,101,-74.91100000000003,-0.741693069306931,0.5638141154412749,86.76100000000001,-0.8634178951372162,0.9627025528346899,-2.700228578557612
A_short_only,2,5,65,-57.735,-0.8882307692307693,0.5174998746427318,58.647,-0.9844493324466724,0.883855199944856,-2.404524337665439,36,-2.9770000000000003,-0.08269444444444446,0.9452757352941177,31.09,-0.09575426182052107,0.618890552117193,101,-60.71200000000001,-0.6011089108910892,0.6511967275276058,75.58399999999999,-0.8032387806943271,0.920556420780499,-1.9486621329649836
A_short_only,2,6,65,-60.059000000000005,-0.9239846153846154,0.5155555555555557,64.15100000000001,-0.9362129974591198,0.8574106225589093,-2.3137094270906586,36,6.560000000000001,0.18222222222222226,1.1205882352941177,29.64,0.22132253711201083,0.40320340894399925,101,-53.499,-0.5296930693069307,0.7000756832515767,75.601,-0.7076493697173318,0.8774402592695576,-1.5521518691801508
A_short_only,2,8,65,-45.259,-0.6962923076923077,0.642772011523738,59.68300000000001,-0.7583231405927985,0.7374349309000157,-1.3733838962175793,36,8.370000000000001,0.23250000000000004,1.143003587903639,35.629999999999995,0.23491439797923105,0.31069955020643125,101,-36.88899999999999,-0.3652376237623761,0.8008422189229315,76.46300000000001,-0.482442488523861,0.8174099357681016,-0.8722121891682953
A_short_only,2,10,65,-54.932,-0.8451076923076923,0.5806685547217917,58.752,-0.9349809368191722,0.8479859596953305,-1.6207791007894614,36,-2.2299999999999995,-0.061944444444444434,0.9646144081244051,36.49999999999999,-0.061095890410958906,0.29303187194898883,101,-57.162000000000006,-0.565960396039604,0.7053793700616949,91.43200000000003,-0.6251859305276051,0.9146971935153229,-1.3070700552744046
A_short_only,2,12,65,-42.419000000000004,-0.6526000000000001,0.6761883678501363,51.733000000000004,-0.8199601801558,0.6867745202644293,-1.1135985804262811,36,11.980000000000004,0.3327777777777779,1.1900983814662014,31.67,0.37827597095042637,0.049065427443929686,101,-30.439000000000004,-0.3013762376237624,0.8431133033362712,76.81300000000002,-0.3962740681915821,0.8118898925441469,-0.6034389998494193
A_short_only,2,15,65,-59.229,-0.9112153846153846,0.5620225832452137,68.00899999999999,-0.8708994397800293,0.8617100421276096,-1.5511507980558334,36,28.150000000000002,0.7819444444444446,1.4466835925103148,28.75,0.9791304347826087,0.011566904009096709,101,-31.078999999999997,-0.3077128712871287,0.8432356635208544,85.869,-0.36193504058507725,0.785950922236577,-0.5647924336176456
A_short_only,2,20,65,-31.153999999999996,-0.47929230769230763,0.7696272359557207,56.54900000000001,-0.5509204406797643,0.5855256593709239,-0.6193884192993263,36,-8.420000000000005,-0.23388888888888903,0.8787267751692351,46.019999999999996,-0.18296392872664072,0.28163572214880933,101,-39.57399999999999,-0.3918217821782177,0.8066382296751246,81.061,-0.488200244260495,0.7389199426848083,-0.6323737144068193
A_short_only,2,25,65,-35.178000000000004,-0.5412,0.7437555997465088,61.309000000000005,-0.5737819895936975,0.31486802934834485,-0.6452492337173265,36,5.82,0.16166666666666668,1.0838254356906236,46.019999999999996,0.12646675358539766,0.06169462667350633,101,-29.358000000000004,-0.2906732673267327,0.8579770019302124,95.21900000000001,-0.308320818324074,0.6715271320501144,-0.41433169004228637
A_short_only,2,30,65,-15.244999999999996,-0.23453846153846147,0.8889520188224325,56.549,-0.26958920582149987,0.02232236835163977,-0.23741242802900678,36,21.892999999999994,0.6081388888888887,1.3153247875558114,46.02,0.475727944372012,0.0010634940103582185,101,6.648000000000004,0.06582178217821787,1.0321605317517526,84.132,0.07901868492369139,0.29927368943983595,0.07912447720656396
A_short_only,2,40,65,-86.54999999999998,-1.3315384615384613,0.3880927299336127,89.45999999999998,-0.9674714956405097,0.7783565061609141,-1.8695688993024455,36,50.82,1.4116666666666666,1.731960247731528,46.019999999999996,1.1043024771838332,0.11828407496535798,101,-35.73,-0.35376237623762374,0.8305615228123089,108.30999999999999,-0.3298864370787554,0.6655244986107317,-0.4196011572389188
A_short_only,2,50,65,-103.03999999999999,-1.585230769230769,0.27150866426758474,103.03999999999999,-1.0,0.9274967813352964,-3.2676138613245387,36,65.6,1.822222222222222,1.9448365259974072,46.02,1.4254671881790524,0.17841633168484847,101,-37.43999999999999,-0.3706930693069306,0.8224523765489181,115.97999999999999,-0.3228142783238489,0.6433459845622982,-0.4300577257109249
A_short_only,3,3,65,-66.273,-1.0195846153846153,0.5229481291660067,72.61900000000001,-0.91261240171305,0.8941726135618987,-2.596112093454956,36,-12.814,-0.35594444444444445,0.7964319189159133,31.517000000000003,-0.4065742297807532,0.7590680519262076,101,-79.087,-0.7830396039603961,0.6082261268446367,91.18300000000002,-0.8673436934516301,0.9386422497669231,-2.483956377976294
A_short_only,3,4,65,-57.985,-0.8920769230769231,0.6009071387275281,68.44900000000001,-0.8471270581016521,0.906972981350388,-2.019048653602132,36,-10.417000000000003,-0.2893611111111112,0.849175438342479,37.137,-0.2805019253036057,0.6990428174111618,101,-68.40200000000002,-0.6772475247524754,0.6808997989354308,89.28600000000002,-0.7660999484801649,0.9327786082396373,-1.9009218863462032
A_short_only,3,5,65,-45.92499999999999,-0.7065384615384613,0.6904050856484133,64.02900000000001,-0.7172531196801447,0.8182251954985826,-1.4402305572347482,36,2.426,0.06738888888888889,1.0351253131017708,29.657000000000004,0.08180193546211686,0.41563006821167214,101,-43.49899999999998,-0.4306831683168315,0.7999181255347138,72.63300000000001,-0.5988875579970533,0.8417950588667519,-1.082820402758441
A_short_only,3,6,65,-51.37799999999999,-0.7904307692307692,0.674732203904885,71.119,-0.722422981200523,0.859068140836622,-1.4906027515752795,36,7.143000000000003,0.19841666666666677,1.099047381338658,28.527,0.2503943632348303,0.07972958484555001,101,-44.235,-0.43797029702970297,0.8077349363028254,81.435,-0.5431939583717075,0.8484743982650621,-1.0094608886132563
A_short_only,3,8,65,-42.10499999999999,-0.6477692307692307,0.74797988866942,66.194,-0.6360848415264222,0.8401926165632673,-1.010321538810123,36,13.206999999999997,0.366861111111111,1.1689652525459289,27.987000000000002,0.47189766677385914,0.00018852823250730823,101,-28.897999999999996,-0.2861188118811881,0.8821615273575442,71.95499999999998,-0.40161211868528945,0.7465434059029709,-0.5498192413038383
A_short_only,3,10,65,-45.821000000000005,-0.7049384615384616,0.7353330214235791,67.35700000000001,-0.6802707959083688,0.8449328505497025,-1.0345492634828475,36,-6.733999999999994,-0.1870555555555554,0.9231576785265994,37.59399999999999,-0.17912432835026856,0.14495481481160521,101,-52.555000000000014,-0.5203465346534655,0.7984552904767199,93.47800000000001,-0.5622178480498086,0.8913109813617554,-0.9500661391552677
A_short_only,3,12,65,-38.545,-0.593,0.7812478717849763,67.471,-0.5712824769160083,0.7700861163084805,-0.796468094075255,36,11.596000000000004,0.32211111111111124,1.1323230709541958,33.343999999999994,0.3477687140115165,0.009386512837628804,101,-26.949,-0.26682178217821784,0.897857776362768,83.905,-0.3211846731422442,0.7723980483518036,-0.4333019423404209
