sl,tp,n,exp,pf,mar,r2,t,exp_tr,exp_te,n_te
5,3,134,-0.8012462686567163,0.6733586857316702,-0.7433225793051883,0.8877039860623789,-2.216625907383711,-1.069030612244898,-0.07227777777777782,36
5,5,134,-0.36375373134328365,0.8689355500522988,-0.385658562058407,0.7298978766937891,-0.8092289851839839,-0.7206020408163265,0.6076666666666668,36
5,8,134,-0.3204179104477611,0.9030612820854378,-0.44667304731388613,0.6469957221965393,-0.5727512738325774,-0.32641836734693885,-0.3040833333333334,36
5,10,134,-0.16391791044776113,0.9530859873087612,-0.21876836349511464,0.3824986201038353,-0.2620951751899584,-0.3753877551020408,0.4117499999999999,36
5,12,134,0.11339552238805976,1.0314179968571664,0.1392541950383534,0.1011697563868156,0.16326577256762403,-0.0888571428571426,0.6639722222222223,36
5,15,134,0.7357835820895525,1.199656152799378,0.8986301120154582,0.1978909474048297,0.9156458844631542,0.6089387755102043,1.0810833333333332,36
5,20,134,1.2411417910447762,1.319582557498266,1.3516217380350608,0.34457541964594324,1.29433302400394,0.9929591836734696,1.91675,36
5,25,134,1.6216865671641794,1.409472825359857,1.9676385367620435,0.6065039813669036,1.509076129981776,1.4562551020408163,2.0720277777777785,36
5,30,134,1.858119402985075,1.4601711031886404,1.8321412803532013,0.6485813374289124,1.575186254046521,1.7147142857142856,2.2485,36
5,40,134,0.6403582089552239,1.1498950133984562,0.5655383317515555,0.23284461095308054,0.5316412397250309,0.16362244897959183,1.9381388888888889,36
8,3,134,-0.8459179104477611,0.7053753603110696,-0.7128357345441051,0.7399704831619082,-1.8071242654159085,-1.0369795918367346,-0.3258055555555555,36
8,5,134,-0.33757462686567175,0.8993937156379552,-0.30459843643733975,0.4796352533290125,-0.5950858303550529,-0.5941224489795919,0.3608055555555556,36
8,8,134,-0.24688059701492554,0.9413123385654681,-0.25418754033869145,0.07723360625202808,-0.3485725298092981,0.16121428571428567,-1.3578055555555555,36
8,10,134,-0.22915671641791055,0.9504805676503788,-0.22832180831288582,0.04758105047992745,-0.2910597548307808,0.06649999999999978,-1.0339999999999998,36
8,12,134,0.02795522388059687,1.0057360996053943,0.022347235230601156,4.0042733792291036e-05,0.032329442425449974,0.5375510204081634,-1.3592777777777778,36
8,15,134,0.722268656716418,1.1428959521869055,0.5286894200935193,0.15085881914343888,0.7349456194376399,1.364408163265306,-1.0257777777777777,36
8,20,134,1.3530074626865674,1.2495849497121492,0.966274229738157,0.28026865815525925,1.1659241168141805,1.9470102040816328,-0.26399999999999985,36
8,25,134,2.350626865671642,1.428749159472843,1.8608597017747026,0.6033642399687892,1.7822408046011993,2.9458979591836743,0.7301666666666672,36
8,30,134,1.8469253731343283,1.3155961805272178,1.2859859703819185,0.5106834632769962,1.3052305489205411,2.5642755102040824,-0.10586111111111102,36
8,40,134,0.9769626865671637,1.1570106886195946,0.5712409402503785,0.33189235799041295,0.6407040949430793,1.5182346938775506,-0.49649999999999966,36
10,3,134,-0.880865671641791,0.7128790421841777,-0.7182514086821066,0.7685669805657735,-1.6552852378029108,-0.9981632653061224,-0.5615555555555554,36
10,5,134,-0.15802238805970162,0.9551420836104954,-0.14556466026892523,0.25132715153605384,-0.24926398033899264,-0.24098979591836742,0.06783333333333338,36
10,8,134,-0.20083582089552265,0.9568775998102818,-0.1604043486553502,1.1559912313226518e-05,-0.2523667712000936,0.6460816326530613,-2.5063333333333335,36
10,10,134,-0.20179104477611945,0.9612622989335672,-0.17779531183219913,0.0003485755702285726,-0.22761769617660937,0.34171428571428547,-1.6813333333333336,36
10,12,134,0.11847761194029875,1.021499318836144,0.09087266607901293,0.03251813163564902,0.12212052813174812,0.917826530612245,-2.0575277777777776,36
10,15,134,0.9394552238805974,1.1636796488390415,0.664241241029971,0.25673210199728963,0.8579141800184792,1.9092040816326532,-1.7004166666666665,36
10,20,134,2.0063358208955226,1.3281199274557518,1.6517820389154791,0.5352561005255249,1.5513677536656894,3.0600000000000005,-0.861972222222222,36
10,25,134,3.0672985074626866,1.489581658286968,2.8559179532789516,0.7306691160469525,2.0965994821840557,4.094989795918367,0.2696944444444447,36
10,30,134,2.5053880597014926,1.370157778096299,1.7181972649852608,0.6061948487396293,1.5832625337258752,3.620377551020408,-0.5298611111111108,36
10,40,134,1.6613059701492539,1.2265591685655581,0.9365140131086302,0.43636331287129154,0.9525305522509071,2.5268979591836738,-0.6950277777777776,36
12,3,134,-0.8896641791044776,0.7225493390430087,-0.80661312475896,0.8325025678974581,-1.5137576298653657,-0.9560816326530612,-0.7088611111111115,36
12,5,134,-0.06622388059701505,0.981919683788024,-0.08197539075490537,0.07798744955241532,-0.09586927371648327,-0.03941836734693868,-0.13919444444444465,36
12,8,134,-0.32905970149253716,0.9356662946184318,-0.2597385767216647,0.0014887316048027644,-0.3755961473999906,0.7144591836734692,-3.1697500000000005,36
12,10,134,-0.20404477611940308,0.964047904569553,-0.1944002047665094,0.022552727920803213,-0.21011975520876996,0.5615204081632654,-2.2880833333333337,36
12,12,134,0.3142089552238808,1.0528330108441686,0.31395591612730056,0.26130571077120474,0.29678887556134215,1.1841632653061225,-2.0540000000000003,36
12,15,134,1.251955223880597,1.2013850458740927,1.2712131545048118,0.553497736442289,1.053123994495779,2.2922244897959185,-1.5798888888888891,36
12,20,134,2.741432835820896,1.4168339402081718,3.678559626688564,0.8233079210404742,1.9578331104153954,3.93830612244898,-0.5167222222222221,36
12,25,134,4.095328358208955,1.6061644365209284,6.707252682783727,0.9159996200866032,2.5827555597465475,5.267714285714287,0.9038333333333336,36
12,30,134,3.4265000000000003,1.4618839674353148,3.270352854029261,0.8280763169156439,1.9860297081994682,4.5875204081632655,0.2659444444444445,36
12,40,134,2.501485074626866,1.3068267320841767,1.5786997353126802,0.7295989142463692,1.3059824705912169,3.22837755102041,0.5227222222222216,36
15,3,134,-0.9944999999999998,0.70765464273727,-0.7299882227273973,0.8647934423197318,-1.5044089584929121,-1.2012346938775509,-0.43172222222222245,36
15,5,134,-0.21626119402985086,0.9454685388902898,-0.1962309890437304,0.3937054273247827,-0.28014770213637674,-0.32974489795918377,0.09266666666666667,36
15,8,134,-0.23700746268656747,0.9564504937868696,-0.13697785253714623,0.016414550055092042,-0.24411584168052167,1.2108673469387758,-4.178444444444445,36
15,10,134,0.20179850746268665,1.034201795780838,0.14572566433679493,0.007336852204054121,0.18909763683376632,1.4638265306122447,-3.233722222222222,36
15,12,134,0.8810746268656716,1.1437086681167694,0.6553249593419218,0.24740897181313906,0.7633525854074983,2.3182755102040815,-3.031305555555555,36
15,15,134,2.1440298507462687,1.3368752330454319,1.7136994554098135,0.5088210843956541,1.6646587916895759,3.565928571428572,-1.7266944444444445,36
15,20,134,3.2344253731343287,1.459038357255427,3.1937644614092253,0.785164543038682,2.144594659555995,4.597244897959184,-0.47547222222222224,36
15,25,134,4.765365671641791,1.6553806552790475,7.335205734371752,0.9051626114300108,2.8028722651813394,6.067408163265306,1.220916666666667,36
15,30,134,4.095940298507463,1.513886054023688,3.529098589919178,0.8115954829124434,2.2145456181081835,5.818132653061226,-0.5922500000000003,36
15,40,134,3.540835820895522,1.4080289704765665,2.5972990874703727,0.7703720431396978,1.7140341340328438,4.895602040816327,-0.147138888888889,36
18,3,134,-1.3565223880597017,0.6440047942844608,-0.807708543472755,0.9066441056192256,-1.8040472382544062,-1.4823673469387755,-1.0139444444444448,36
18,5,134,-0.6723358208955226,0.8505238707536605,-0.4956101264151568,0.6376449460133314,-0.7708997350240994,-0.665938775510204,-0.6897500000000001,36
18,8,134,-0.5392835820895526,0.9099300769029429,-0.27670075776430836,0.12580056776827264,-0.5018466983051194,0.8441530612244895,-4.305305555555556,36
18,10,134,-0.33576119402985044,0.9496694372042551,-0.18175795231439199,0.07513206192821185,-0.284064970681229,1.0223367346938779,-4.032805555555556,36
18,12,134,0.3352313432835821,1.048256488484015,0.1818310611702989,0.033906754112770346,0.263921628581495,1.8750510204081632,-3.856500000000001,36
18,15,134,1.6310970149253732,1.2259197853334627,0.9755756810198218,0.3279869115480703,1.1607629842621248,3.13719387755102,-2.4688333333333334,36
18,20,134,2.704007462686567,1.3366771509410293,1.8912103972023588,0.6824486013662724,1.6572577553485188,4.120928571428571,-1.153166666666667,36
18,25,134,4.292037313432836,1.5167867431274273,4.307951013070677,0.8679732624054937,2.3502481943514693,5.6183367346938775,0.6815555555555555,36
18,30,134,3.2364179104477606,1.348800736078292,1.9259344787924269,0.7353060228268463,1.6325227740447728,4.869979591836734,-1.2105000000000006,36
