date,kind,side,entry,mfe,mae,min_to_mfe,min_to_mae,mfe_first,eod_pnl
2025-08-21,A_S,short,3344.298,18.813,2.504,653.8572833333334,92.92195,False,2.113
2025-08-22,F_L,long,3339.525,0.55,18.48,25.738166666666668,718.13245,True,-16.2
2025-08-22,A_S,short,3336.285,14.47,4.367,738.1181333333334,45.750733333333336,False,12.45
2025-08-25,F_L,long,3369.715,1.66,7.89,276.8143,137.44056666666665,False,-5.43
2025-08-25,A_S,short,3365.065,4.96,6.837,121.81195,696.81345,True,0.28
2025-08-26,A_L,long,3360.355,26.07,1.22,47.78678333333333,0.3793166666666667,False,11.25
2025-08-27,A_L,long,3392.385,0.91,18.72,9.706683333333334,425.39166666666665,True,-11.36
2025-08-27,F_S,short,3389.575,15.418,2.14,257.759,18.2501,False,8.06
2025-08-28,A_L,long,3397.745,10.77,13.3,706.0459833333333,131.93506666666667,False,-0.84
2025-08-28,F_S,short,3394.758,9.753,14.354,146.93506666666667,734.7891666666667,True,-2.657
2025-08-29,A_L,long,3417.105,0.54,12.92,5.741366666666667,661.7468166666666,True,-0.76
2025-08-29,F_S,short,3413.268,8.603,3.907,646.7468166666666,754.7078666666666,True,-3.567
2025-09-01,F_L,long,3448.705,40.89,0.61,290.73498333333333,0.0377,False,20.62
2025-09-01,A_S,short,3443.515,6.08,46.707,76.99321666666667,388.54678333333334,True,-26.22
2025-09-02,A_L,long,3482.265,25.963,12.46,97.3024,476.33211666666665,True,-0.536
2025-09-02,F_S,short,3478.755,8.14,30.48,436.33211666666665,57.3467,False,-3.69
2025-09-03,F_L,long,3530.715,20.62,4.207,769.0612166666666,345.59855,False,19.66
2025-09-04,F_L,long,3561.885,1.263,51.46,0.1426,134.05695,True,-13.76
2025-09-04,A_S,short,3554.505,42.653,9.37,184.05865,50.1426,False,5.86
2025-09-05,A_L,long,3555.125,31.45,10.52,676.2529166666667,452.1313166666667,False,25.04
2025-09-05,F_S,short,3551.475,6.35,36.27,527.1313166666666,751.2461,True,-29.31
2025-09-08,F_L,long,3592.875,32.94,13.51,721.9478833333334,188.08923333333334,False,31.11
2025-09-08,A_S,short,3587.185,7.08,39.18,173.079,706.9478833333334,True,-37.39
2025-09-09,F_L,long,3637.512,21.613,1.717,336.18156666666664,55.1748,False,9.743
2025-09-09,A_S,short,3633.435,-0.56,26.33,0.018583333333333334,341.1713833333333,True,-14.42
2025-09-10,F_L,long,3634.685,22.553,3.44,518.18675,19.960283333333333,False,9.13
2025-09-10,A_S,short,3630.298,9.546,29.187,74.76575,735.0647833333334,True,-14.017
2025-09-11,A_L,long,3646.915,1.98,35.45,75.28061666666666,735.1035166666667,True,-18.167
2025-09-11,F_S,short,3644.665,30.08,4.977,531.4623666666666,65.28061666666666,False,15.35
2025-09-12,A_L,long,3636.205,20.23,1.22,268.7411833333333,0.8508666666666667,False,9.02
2025-09-12,F_S,short,3630.925,0.073,26.05,0.33416666666666667,288.7411833333333,True,-14.86
2025-09-15,F_L,long,3638.835,11.963,12.687,761.4544,62.96243333333334,False,11.36
2025-09-15,A_S,short,3635.775,8.9,15.55,37.96073333333333,736.4544,True,-14.98
2025-09-16,A_L,long,3678.235,21.13,3.78,702.97115,156.62633333333332,False,10.82
2025-09-17,F_L,long,3695.255,-0.07,35.44,0.22635,650.87415,True,-16.7
2025-09-17,A_S,short,3692.835,32.533,1.58,625.87585,7.1025833333333335,False,13.81
