tag,sl,tp,n,pf,exp,net,mdd,wr,pf_dev,pf_val,pf_hold,exp_dev,exp_val,exp_hold,n_dev,n_val,n_hold,minPF,minEXP
LOCKED,3,3,131,0.6113350007448468,-0.7568167938931297,-99.143,118.56799999999994,38.16793893129771,0.5426381031871156,0.5186435563267384,1.0088045634920635,-0.936405063291139,-0.9816153846153846,0.013653846153846187,79,26,26,0.5186435563267384,-0.9816153846153846
LOCKED,3,4,131,0.6401381455229279,-0.7596106870229008,-99.509,121.97399999999998,32.82442748091603,0.5331404776568036,0.5967410897538863,1.1313793103448277,-1.0459367088607594,-0.8690384615384615,0.21980769230769243,79,26,26,0.5331404776568036,-1.0459367088607594
LOCKED,3,5,131,0.6917978544834114,-0.6811832061068701,-89.23499999999999,118.76799999999997,29.770992366412212,0.5863922191518527,0.5961942168348344,1.228458074201158,-0.962481012658228,-0.9173846153846154,0.4097307692307694,79,26,26,0.5863922191518527,-0.962481012658228
LOCKED,3,6,131,0.8085028572991003,-0.42770229007633587,-56.028999999999996,90.98199999999999,29.00763358778626,0.7178626601971324,0.7494074625854947,1.214170692431562,-0.6565443037974682,-0.5693076923076923,0.40923076923076923,79,26,26,0.7178626601971324,-0.6565443037974682
LOCKED,3,7,131,0.8682529692960724,-0.3004274809160306,-39.35600000000001,81.431,27.480916030534353,0.8209871842294219,0.6922656023689208,1.2402843601895734,-0.41656962025316435,-0.7354615384615385,0.4875000000000001,79,26,26,0.6922656023689208,-0.7354615384615385
LOCKED,3,8,131,0.8698744009040017,-0.30590839694656496,-40.07400000000001,72.199,25.190839694656486,0.8687080581807283,0.7834658341111718,0.9646370420624152,-0.31055696202531635,-0.5175,-0.08019230769230773,79,26,26,0.7834658341111718,-0.5175
LOCKED,3,10,131,0.966283505608924,-0.08177099236641219,-10.711999999999998,62.509,22.900763358778626,0.9503565522943367,0.7771662476237199,1.2277815468113975,-0.12160759493670874,-0.5590384615384616,0.5165384615384616,79,26,26,0.7771662476237199,-0.5590384615384616
LOCKED,3,12,131,0.8671891001380294,-0.3415419847328244,-44.74199999999999,94.88499999999998,18.3206106870229,0.7555451652456857,0.7098554033485541,1.44640434192673,-0.6485696202531646,-0.7625,1.0123076923076924,79,26,26,0.7098554033485541,-0.7625
LOCKED,3,15,131,0.9228161344770976,-0.20385496183206112,-26.705000000000005,80.67800000000001,16.030534351145036,0.946630915518829,0.41025193147463895,1.4578505728578346,-0.1415949367088608,-1.6881538461538463,1.0912692307692307,79,26,26,0.41025193147463895,-1.6881538461538463
LOCKED,3,18,131,0.9769177487211222,-0.06206870229007623,-8.130999999999986,95.504,14.50381679389313,1.0236992670669045,0.23264806341431982,1.7481523317734389,0.06381012658227864,-2.2898076923076927,1.7831923076923077,79,26,26,0.23264806341431982,-2.2898076923076927
LOCKED,3,20,131,1.0901658424695255,0.24245801526717572,31.76200000000002,93.28399999999999,14.50381679389313,1.1372639358366206,0.26126184185087326,1.966274003550105,0.3695822784810127,-2.204423076923077,2.3030769230769232,79,26,26,0.26126184185087326,-2.204423076923077
LOCKED,3,22,131,1.1242982053757118,0.3371603053435115,44.168000000000006,91.47399999999999,13.740458015267176,1.1310894227560897,0.2845910936392344,2.151944489269001,0.3580632911392405,-2.1348076923076924,2.745615384615385,79,26,26,0.2845910936392344,-2.1348076923076924
LOCKED,3,25,131,1.2706964335465571,0.7342671755725192,96.18900000000002,88.454,13.740458015267176,1.277379231082935,0.3235161435844558,2.4332741649185095,0.7576455696202532,-2.018653846153846,3.416153846153847,79,26,26,0.3235161435844558,-2.018653846153846
LOCKED,3,27,131,1.330571651296368,0.8966793893129771,117.465,86.42099999999999,13.740458015267176,1.3100971341712087,0.3497196623058581,2.629869291592706,0.8470126582278481,-1.9404615384615385,3.88473076923077,79,26,26,0.3497196623058581,-1.9404615384615385
LOCKED,3,30,131,1.4743048187786874,1.2865572519083968,168.539,83.454,13.740458015267176,1.4470720720720722,0.3879615905136303,2.929207681136034,1.2211518987341772,-1.8263461538461538,4.598192307692308,79,26,26,0.3879615905136303,-1.8263461538461538
LOCKED,3,32,131,1.3416521287872099,0.9448167938931301,123.77100000000004,82.31099999999999,12.213740458015266,1.2026113857496286,0.41270864213443326,3.0043730837502016,0.5712025316455697,-1.7525,4.777346153846154,79,26,26,0.41270864213443326,-1.7525
LOCKED,3,35,131,1.3053306774862465,0.8553664122137409,112.05300000000005,90.161,11.450381679389313,1.0675712514399782,0.4515048011857963,3.2468936582217207,0.1945316455696203,-1.6367307692307693,5.355384615384616,79,26,26,0.4515048011857963,-1.6367307692307693
