kind,sl,tp,n,pf,exp,net,mdd,pf_dev,pf_val,pf_hold,n_dev,n_val,n_hold,minPF,minEXP
A_LONG,5,6,91,0.7496348252673355,-0.7986153846153844,-72.67399999999998,106.99400000000004,0.7296247971231264,0.3187617993620207,1.5003723008190617,58,15,18,0.3187617993620207,-2.790533333333333
A_LONG,5,8,91,0.8074898824498304,-0.6575934065934065,-59.840999999999994,88.40100000000001,0.8136327539932248,0.39374064188529395,1.2872720063441714,58,15,18,0.39374064188529395,-2.4834000000000005
A_LONG,5,10,91,0.9136812587630472,-0.3044395604395604,-27.703999999999997,106.431,0.8686395683659707,0.4920415337543129,1.6139968279143537,58,15,18,0.4920415337543129,-2.080733333333333
A_LONG,5,12,91,0.9395647352947297,-0.22340659340659322,-20.329999999999984,124.10099999999998,0.8867379488794271,0.36039446905303485,1.9363600317208567,58,15,18,0.36039446905303485,-2.8493999999999997
A_LONG,5,15,91,1.0505313393560451,0.19245054945054962,17.513000000000016,131.065,1.1102318725499591,0.21419439117262848,1.8993151919264735,58,15,18,0.21419439117262848,-3.7696666666666667
A_LONG,5,18,91,1.1197000983421919,0.46948351648351677,42.72300000000003,146.748,1.2133057301821721,0.0,2.3013696161470536,58,15,18,0.0,-5.1532
A_LONG,5,20,91,1.2436897093722075,0.9557912087912092,86.97700000000003,142.768,1.349463924793311,0.0,2.548927734726978,58,15,18,0.0,-5.1532
A_LONG,5,22,91,1.3367057327053633,1.3206153846153852,120.17600000000004,138.64800000000005,1.430992865715726,0.0,2.8179131375022526,58,15,18,0.0,-5.1532
A_LONG,5,25,91,1.4148585602731287,1.6504395604395603,150.19,132.68499999999995,1.6140570831976226,0.0,2.4828382838283827,58,15,18,0.0,-5.1532
A_LONG,5,27,91,1.4878172070038975,1.9406923076923075,176.60299999999998,128.21800000000002,1.6752272128997139,0.0,2.692458745874588,58,15,18,0.0,-5.1532
A_LONG,5,30,91,1.513771385470814,2.0734175824175822,188.68099999999998,124.30000000000004,1.8073743246077032,0.0,2.2917502278942576,58,15,18,0.0,-5.1532
A_LONG,5,32,91,1.4963643681244967,2.032912087912088,184.995,124.30000000000003,1.7288594053540782,0.0,2.4427225767244,58,15,18,0.0,-5.1532
A_LONG,5,35,91,1.255438157145544,1.089505494505495,99.14500000000004,124.3,1.2691750435680502,0.0,2.678669097538742,58,15,18,0.0,-5.1532
A_LONG,5,40,91,1.0110680741751628,0.048483516483516495,4.412000000000001,158.625,1.106820705799637,0.0,1.7742253521126763,58,15,18,0.0,-5.1532
A_LONG,5,50,91,1.152053062535121,0.6660659340659342,60.61200000000001,162.055,1.2123231306376485,0.0,2.1938028169014085,58,15,18,0.0,-5.1532
A_LONG,5,60,91,1.2130880227984266,0.9334285714285717,84.94200000000002,162.055,1.334324041449949,0.0,2.1063380281690143,58,15,18,0.0,-5.1532
A_LONG,5,75,91,1.0358825598620687,0.15917582417582443,14.485000000000024,162.05499999999998,1.1889067272300105,0.0,1.6132394366197185,58,15,18,0.0,-5.1532
A_LONG,6,6,91,0.898668796053895,-0.3304945054945055,-30.075,108.63499999999999,1.0055493401461642,0.3743168600403308,1.2411711563731933,58,15,18,0.3743168600403308,-2.8545333333333334
A_LONG,6,8,91,0.9376098043043288,-0.2247802197802198,-20.455000000000002,103.08099999999999,1.1381806046574683,0.32424209933792586,1.056390732786672,58,15,18,0.32424209933792586,-3.3614000000000006
A_LONG,6,10,91,1.0226662043858887,0.0862087912087912,7.845,116.67999999999999,1.1536908661537288,0.405192055110301,1.3245151633476506,58,15,18,0.405192055110301,-2.9587333333333334
A_LONG,6,12,91,1.0675220410371027,0.2702417582417582,24.592,137.08700000000002,1.2023737162256471,0.2986335003224046,1.589060262918131,58,15,18,0.2986335003224046,-3.7707333333333337
A_LONG,6,15,91,1.2073459872929393,0.8581868131868132,78.095,142.601,1.5035187011197704,0.17704289094626566,1.561747969889159,58,15,18,0.17704289094626566,-4.776333333333334
A_LONG,6,18,91,1.3046419108348875,1.3051428571428574,118.76800000000003,155.69400000000002,1.6617705438666133,0.0,1.8923448521130937,58,15,18,0.0,-6.209866666666668
A_LONG,6,20,91,1.3742118274492376,1.6284835164835165,148.192,150.03400000000002,1.7111254614897673,0.0,2.095904214332286,58,15,18,0.0,-6.209866666666668
A_LONG,6,22,91,1.485572370464457,2.113098901098901,192.292,147.80700000000004,1.8350702484078867,0.0,2.3170825677197557,58,15,18,0.0,-6.209866666666668
A_LONG,6,25,91,1.5869210053190297,2.5936813186813192,236.02500000000003,147.80700000000002,2.0720030249087644,0.0,2.0439046920422745,58,15,18,0.0,-6.209866666666668
A_LONG,6,27,91,1.5847976854539796,2.6232417582417584,238.71500000000003,147.80700000000002,2.0036241038109,0.0,2.216466976390361,58,15,18,0.0,-6.209866666666668
A_LONG,6,30,91,1.6313217718214084,2.875087912087912,261.633,147.80699999999996,2.1753362132878284,0.0,1.8894581256106426,58,15,18,0.0,-6.209866666666668
A_LONG,6,32,91,1.6254459061903381,2.901615384615385,264.047,147.807,2.108578927092363,0.0,2.013928902472631,58,15,18,0.0,-6.209866666666668
A_LONG,6,35,91,1.4223337811295795,2.048648351648352,186.42700000000002,147.80700000000007,1.6820879231408252,0.0,2.2084575494150367,58,15,18,0.0,-6.209866666666668
A_LONG,6,40,91,1.2105510300812379,1.0495274725274726,95.507,165.995,1.5416525487024226,0.0,1.4650400074432453,58,15,18,0.0,-6.209866666666668
A_LONG,6,50,91,1.378274049007396,1.8855714285714282,171.58699999999996,165.99500000000003,1.7103030170545006,0.0,1.8114998139188687,58,15,18,0.0,-6.209866666666668
A_LONG,6,60,91,1.4323298905435344,2.155021978021978,196.107,165.99500000000006,1.8222630276930696,0.0,1.7392770748046147,58,15,18,0.0,-6.209866666666668
A_LONG,6,75,91,1.3037205093513033,1.5343626373626378,139.62700000000004,165.99500000000006,1.7278199508179195,0.0,1.3321082992184592,58,15,18,0.0,-6.209866666666668
A_LONG,8,6,91,0.8850114833848407,-0.43300000000000005,-39.403000000000006,129.618,1.0787028993653487,0.28432526028370364,1.1700687448353464,58,15,18,0.28432526028370364,-4.298533333333335
A_LONG,8,8,91,0.8887214588547786,-0.4787912087912089,-43.57000000000001,123.90800000000002,1.1385715388913364,0.24625422417654003,0.9996719384337794,58,15,18,0.24625422417654003,-4.9367333333333345
A_LONG,8,10,91,0.9310915208804277,-0.3209120879120879,-29.203,133.49699999999999,1.0810838652419044,0.3077338056268067,1.2507347212160147,58,15,18,0.3077338056268067,-4.534066666666667
A_LONG,8,12,91,0.9308682411204355,-0.34698901098901097,-31.576,160.397,1.1268318045084855,0.22661234168281982,1.2027288287955473,58,15,18,0.22661234168281982,-5.4794
A_LONG,8,15,91,1.057149140986491,0.2969670329670328,27.023999999999983,172.66000000000003,1.407828573550711,0.1348103314061803,1.1806490640438236,58,15,18,0.1348103314061803,-6.5945333333333345
A_LONG,8,18,91,1.1515903068568436,0.8147362637362636,74.14099999999999,196.07299999999998,1.5695196223287327,0.0,1.4305734481947416,58,15,18,0.0,-8.155400000000002
A_LONG,8,20,91,1.2162457909071522,1.1813626373626374,107.50399999999999,196.07299999999998,1.6221965398893328,0.0,1.584460102837555,58,15,18,0.0,-8.155400000000002
A_LONG,8,22,91,1.3178010934589588,1.736164835164835,157.99099999999999,196.07299999999998,1.7467360089654695,0.0,1.7516663492668063,58,15,18,0.0,-8.155400000000002
A_LONG,8,25,91,1.4853984205592812,2.651758241758242,241.31000000000003,196.07299999999995,1.9713455207676687,0.0,1.9665721935317644,58,15,18,0.0,-8.155400000000002
A_LONG,8,27,91,1.493528199407411,2.741945054945055,249.51700000000002,196.0729999999999,1.9215660929314928,0.0,2.1306081754735793,58,15,18,0.0,-8.155400000000002
A_LONG,8,30,91,1.4685784762466532,2.688703296703297,244.672,196.0729999999999,2.0953364174433635,0.0,1.4251041597777925,58,15,18,0.0,-8.155400000000002
A_LONG,8,32,91,1.4756969722116398,2.771703296703297,252.22500000000005,196.07299999999992,2.058200129782416,0.0,1.5189849499749637,58,15,18,0.0,-8.155400000000002
A_LONG,8,35,91,1.3201187798074328,1.9546593406593407,177.874,196.0729999999999,1.7015622709727851,0.0,1.6657061607792378,58,15,18,0.0,-8.155400000000002
A_LONG,8,40,91,1.2585521180728019,1.6016593406593405,145.75099999999998,204.1429999999999,1.7818347828211265,0.0,1.1058051037158632,58,15,18,0.0,-8.155400000000002
A_LONG,8,50,91,1.3521395927092905,2.2192417582417585,201.95100000000002,222.02399999999992,1.837479132629007,0.0,1.3673112880430487,58,15,18,0.0,-8.155400000000002
A_LONG,8,60,91,1.4471531673225841,2.818032967032968,256.4410000000001,222.0239999999999,2.01746484051843,0.0,1.3127979142709163,58,15,18,0.0,-8.155400000000002
A_LONG,8,75,91,1.3529687725544917,2.2571538461538463,205.401,222.02399999999986,1.9462878533655796,0.0,1.0054688940193297,58,15,18,0.0,-8.155400000000002
A_LONG,10,6,91,0.8022316573036509,-0.8711978021978022,-79.279,158.35499999999996,0.9789281348178723,0.30947535273282323,0.9446818175365878,58,15,18,0.30947535273282323,-4.704866666666667
A_LONG,10,8,91,0.8847310512062186,-0.5589340659340658,-50.86299999999999,154.752,1.1962296306868265,0.2874670560581238,0.8061664296658841,58,15,18,0.2874670560581238,-5.335066666666665
A_LONG,10,10,91,0.9195916288869783,-0.4285934065934066,-39.002,158.064,1.114357137791646,0.35860816297457077,1.008631237805483,58,15,18,0.35860816297457077,-4.8024000000000004
A_LONG,10,12,91,0.9245446396796729,-0.43570329670329666,-39.648999999999994,190.161,1.1636961251793898,0.2961527770965157,0.9696506398483028,58,15,18,0.2961527770965157,-5.739733333333334
A_LONG,10,15,91,1.05390534821085,0.32330769230769235,29.421000000000006,184.12500000000006,1.452551799850536,0.2307814353387378,0.9493410919048434,58,15,18,0.2307814353387378,-6.787533333333334
A_LONG,10,18,91,1.2084390235126918,1.2732417582417581,115.86499999999998,188.07799999999997,1.739234956053622,0.12681217924866084,1.150301305205509,58,15,18,0.12681217924866084,-8.291733333333333
