feature,d24,d25,agree,weaker
dist_tdo_atr,-0.3171710986416454,-0.27038556701030936,True,-0.27038556701030936
comp_atr,0.254588754249797,0.7252041237113402,True,0.254588754249797
loc_in_anchor,0.2048340080971659,0.43926546554738544,True,0.2048340080971659
comp_p40,0.4052334115984444,0.182160852836116,True,0.182160852836116
with_tdo (T-F),0.5361490584848174,0.17994642745825878,True,0.17994642745825878
long (T-F),0.21766848403531813,0.12011957301396059,True,0.12011957301396059
sig_mq,0.11118477398889759,0.06938618816128089,True,0.06938618816128089
cont (T-F),-0.06583446639829127,-0.14277155671470593,True,-0.06583446639829127
speed,0.06265905908423419,0.44949960607864925,True,0.06265905908423419
q90_idx,-0.020720395690042803,-0.5041445064198262,True,-0.020720395690042803
body_ratio,-0.005782388663967741,0.3017538937695553,False,0.0
spread_p40,0.2021443763684918,-0.8539377273291392,False,0.0
spread_rel,0.16042035864978887,-0.670474149903892,False,0.0
anchor_eff,-0.005782388663967741,0.3017538937695553,False,0.0
act_p40,0.16956429198679113,-0.49870715146900185,False,0.0
anchor_rng,-0.09204317200857348,0.016990999857919797,False,0.0
anchor_ticks,0.1205910931174089,-0.09322249768538621,False,0.0
anchor_up (T-F),0.16376849757074508,-0.2929261753360964,False,0.0
