year,date,kind,sig_hm,entry,spread,dist25,pnl,why,rule
2024-25,2024-09-04,FLIP_SHORT,610,2493.025,0.42000000000007276,6.974999999999909,-2.13,EOD,researched
2024-25,2024-10-24,A_LONG,610,2719.925,0.42000000000007276,5.074999999999818,15.95,EOD,researched
2024-25,2024-11-12,A_LONG,615,2622.075,0.419999999999618,2.925000000000182,-15.057,SL,researched
2024-25,2024-11-14,A_LONG,605,2574.436,0.6010000000001128,0.5639999999998508,-15.001,SL,researched
2024-25,2024-11-18,A_LONG,605,2571.036,0.5280000000002474,3.963999999999942,25.0,TP,researched
2024-25,2024-11-26,A_LONG,605,2627.706,0.3380000000001928,2.706000000000131,-15.021,SL,researched
2024-25,2024-12-30,A_LONG,605,2622.652,0.6040000000002692,2.3479999999999563,-15.507,SL,researched
2024-25,2025-01-21,FLIP_SHORT,610,2706.579,0.7359999999998763,6.579000000000178,-15.006,SL,researched
2024-25,2025-02-17,A_LONG,610,2894.205,1.3869999999997162,5.795000000000073,-15.11,SL,researched
2024-25,2025-03-03,A_LONG,605,2874.222,0.4470000000001164,0.7779999999997926,-15.087,SL,researched
2024-25,2025-04-01,A_LONG,605,3125.782,0.6340000000000146,0.7820000000001528,-15.057,SL,researched
2024-25,2025-04-03,A_LONG,605,3153.712,0.5639999999998508,3.711999999999989,-15.187,SL,researched
2024-25,2025-04-21,A_LONG,605,3354.135,0.680000000000291,4.135000000000218,25.0,TP,researched
2024-25,2025-04-25,A_LONG,605,3354.845,0.7300000000000182,4.8449999999998,-15.19,SL,researched
2024-25,2025-04-30,A_LONG,605,3323.735,0.7400000000002365,1.2649999999998727,-15.03,SL,researched
2024-25,2025-05-01,A_LONG,605,3275.615,1.1299999999996544,0.6149999999997817,-15.56,SL,researched
2024-25,2025-05-19,A_LONG,605,3243.545,0.6900000000000546,6.454999999999927,-15.03,SL,researched
2024-25,2025-05-20,FLIP_SHORT,610,3220.175,0.7199999999997999,4.824999999999818,-15.01,SL,researched
2024-25,2025-05-21,A_LONG,605,3293.745,0.6199999999998909,6.255000000000109,25.0,TP,researched
2024-25,2025-05-22,A_LONG,605,3324.795,0.5470000000000255,0.20499999999992724,-15.28,SL,researched
2024-25,2025-06-19,A_LONG,605,3378.395,0.6199999999998909,3.394999999999982,-15.34,SL,researched
2024-25,2025-06-30,A_LONG,610,3268.195,0.6900000000000546,6.804999999999836,25.0,TP,researched
2024-25,2025-07-09,A_LONG,655,3307.395,0.5300000000002001,7.394999999999982,-15.26,SL,researched
2024-25,2025-07-11,A_LONG,610,3326.975,0.5799999999999272,1.974999999999909,25.0,TP,researched
