slot,t24,t25,v24,v25,r24,r25,s24,s25,m24,m25,rv24,rv25
0,496.0,757.0,0.21033499694021884,0.20123499259352684,1.3524999999999636,3.3684999999995853,0.5470000000000255,0.7100000000000364,2.593804824562195,4.764763140820408,0.9770804709589409,2.478010274422843
60,713.0,1104.0,0.3124299947885447,0.28575499355793,1.7392500000000837,4.329999999999927,0.5499999999997272,0.7100000000000364,3.2804399808708125,6.149553571431966,1.1472955684403554,3.0331446544313114
120,873.0,1064.0,0.4154449933266733,0.2717699930071831,1.9550000000001546,4.3100000000004,0.5099999999997635,0.6342499999999518,4.011684782610661,6.615384615382265,1.275884543752578,2.993320221504852
180,917.0,1064.0,0.41891499225312145,0.27806998789310455,2.1310000000000855,4.4099999999998545,0.5070000000000618,0.5900000000001455,4.404716511935671,7.10860795454378,1.3560562739066238,2.8476384062552587
240,848.0,1012.5,0.3751849939671956,0.26508498936891556,1.9542500000002292,4.100000000000136,0.5100000000002183,0.599999999999909,3.9171568627450846,6.684749583451076,1.2939676841532655,2.7016656508060795
300,775.0,904.0,0.33409999356081244,0.23600497841835022,1.8107500000003256,3.8792499999999563,0.5099999999997635,0.599999999999909,3.63453185328224,6.2921899529089576,1.1901529292066955,2.588906425529985
360,739.5,839.0,0.3214049970774795,0.21879498660564423,1.7637499999998454,3.539999999999509,0.5170000000002801,0.589999999999236,3.59868447057671,5.752192982456371,1.1543625035007319,2.3588961449643944
420,830.0,990.0,0.3423949942662148,0.2573099881410599,1.9014999999999418,3.9067499999998745,0.5199999999999818,0.5900000000001455,3.8830835603995144,6.387058198246697,1.2767841416465548,2.618366811624535
480,1353.0,1520.5,0.5867349940526765,0.3920449838042259,2.8750000000002274,5.665750000001026,0.5199999999999818,0.6100000000001273,5.664063306827606,8.989601990049453,1.8362453343686174,3.6906878040040656
540,1796.5,2224.5,0.749204987721896,0.5785749852657318,3.449999999999818,7.2775000000006,0.5199999999999818,0.6300000000001091,6.905711206895761,11.260952286407553,2.210684331391981,4.784045746978233
600,1775.0,2325.0,0.7380529860374736,0.6095799654722214,3.25,7.177500000000009,0.5199999999999818,0.6300000000001091,6.506758806602215,11.028988095238022,2.122356247681096,4.674099589924699
660,1247.0,1878.0,0.5143649919336895,0.49142998456954956,2.4557499999998527,5.579999999999927,0.5160000000000764,0.6100000000005821,4.977808223841192,8.71408749752717,1.6480227540179089,3.7400694301458794
720,908.5,1494.5,0.3800149960152339,0.399089977145195,1.9349999999999454,4.387499999999818,0.5160000000000764,0.6100000000001273,3.9079352850534517,6.975409836065042,1.332781019528951,3.0210044818703534
780,812.0,1364.0,0.33853999347775243,0.36014997959136963,1.7035000000000764,3.975000000000364,0.5070000000000618,0.6099999999996726,3.497148288974531,6.413461538469191,1.2047537092702476,2.8073511981935195
840,673.0,1222.0,0.29636999375361484,0.32300999760627747,1.406500000000051,3.644999999999527,0.5059999999998581,0.6100000000005821,2.8962450592898383,5.781818181816798,1.0484202401703318,2.5152683753430307
900,741.0,1320.0,0.3439899988443358,0.36864499002695084,1.3700000000003456,3.719250000000102,0.4699999999997999,0.6100000000001273,3.0665081822202502,5.940659340657264,1.0135507944071214,2.6614180796195086
960,308.0,482.0,0.11556000001291977,0.13150998950004578,1.019249999999829,2.5542499999996835,0.49000000000023647,0.6599999999998545,2.162856782014469,3.775985663083027,0.7721967021361407,1.8098340388735985
1080,236.0,522.0,0.09782999788876623,0.13346999883651733,1.2000000000002728,3.94275000000016,0.5869999999999891,0.8000000000001819,1.9777777777762957,4.542591682234054,0.8836271838281341,2.924877160605997
1140,317.0,633.0,0.13082999970356468,0.16101498901844025,1.2114999999998872,3.7700000000004366,0.5599999999999454,0.75,2.200000000002274,4.89698302001512,0.8266335342825867,2.634630104429248
1200,712.0,1215.5,0.2944799945180421,0.3017199784517288,1.8849999999997635,5.2650000000001,0.5570000000002437,0.7100000000000364,3.4492734724301117,7.140357729981146,1.2978061291082894,3.694776842478187
1260,929.0,1425.5,0.3903699942457024,0.3702149763703346,2.108500000000049,5.54424999999992,0.5570000000002437,0.7100000000000364,4.084280949892062,7.65194991789501,1.383061135526375,3.8266149695174567
1320,715.0,1105.5,0.3017849953030236,0.2881949916481972,1.7432500000002165,4.290000000000418,0.5500000000001819,0.7100000000000364,3.3233919594555372,5.9744984264354795,1.1799286177444066,3.08156641491352
1380,555.0,827.5,0.23638499721710104,0.21954498067498207,1.4120000000000346,3.361750000000029,0.5460000000002765,0.7100000000000364,2.733211456429739,4.727941176471941,0.9996776968835863,2.5165204620221036
