pattern,horizon,n,mean_atr,uncond_atr,edge_atr,t,hit_rate
STOCHRSI_overbought_short,4,20373,-0.025726170829190462,-0.04128821865419792,0.015562047825007457,1.327257594924178,0.48490649388897067
STOCHRSI_overbought_short,8,20373,-0.05820322895214565,-0.08143120759812164,0.02322797864597599,1.37723060887688,0.4815687429440927
STOCHRSI_overbought_short,16,20368,-0.1300998157027772,-0.160345198978609,0.03024538327583179,1.2277048268253943,0.485123723487824
STOCHRSI_overbought_short,32,20367,-0.3740625688357824,-0.32276674496252217,-0.05129582387326026,-1.4269450720918955,0.4642313546423135
STOCHRSI_oversold_long,4,19216,0.050511777087922476,0.04128821865419792,0.009223558433724556,0.7772643878446552,0.5236261448792673
STOCHRSI_oversold_long,8,19216,0.0965458816925683,0.08143120759812164,0.015114674094446653,0.869574149135324,0.5272689425478768
STOCHRSI_oversold_long,16,19215,0.1606959817665943,0.160345198978609,0.0003507827879853098,0.013698375944947739,0.5297423887587822
STOCHRSI_oversold_long,32,19205,0.2469291180281975,0.32276674496252217,-0.07583762693432466,-2.0430110334931584,0.5389221556886228
STOCHRSI_ob_cross_short,4,3508,-0.020452681312901053,-0.04128821865419792,0.020835537341296867,0.83573367232505,0.47291904218928166
STOCHRSI_ob_cross_short,8,3508,-0.09734744580544642,-0.08143120759812164,-0.01591623820732478,-0.42677096859559005,0.4714937286202965
STOCHRSI_ob_cross_short,16,3507,-0.14469369686226988,-0.160345198978609,0.015651502116339117,0.2899096836152452,0.4793270601653835
STOCHRSI_ob_cross_short,32,3506,-0.4417005214915842,-0.32276674496252217,-0.11893377652906201,-1.5024555100767665,0.4577866514546492
STOCHRSI_os_cross_long,4,3367,0.031325168094249345,0.04128821865419792,-0.009963050559948575,-0.39518740810264075,0.5063855063855064
STOCHRSI_os_cross_long,8,3367,0.0575585642571613,0.08143120759812164,-0.023872643340960342,-0.633535782985708,0.5242055242055242
STOCHRSI_os_cross_long,16,3367,0.09445995686794713,0.160345198978609,-0.06588524211066187,-1.185294854403595,0.517968517968518
STOCHRSI_os_cross_long,32,3365,0.18593048561184078,0.32276674496252217,-0.1368362593506814,-1.6932949041757235,0.5337295690936107
