cell,horizon,n,mean_ret,med_ret,mfe,mae,mfe_mae,p_mfe_gt1,p_mae_gt1,winrate,low_conf,family,event,tol,src,cut
PDH|touch,4,2048,-0.0913585626500164,-0.022077473986320817,1.0479820816749292,1.1319405983058406,0.9258278069038509,0.40234375,0.42724609375,0.48779296875,False,PDH,touch,0.25,real,all
PDH|touch,8,2048,-0.11410337923862932,0.02923300824528123,1.454944626482224,1.594277283198834,0.9126045022500436,0.53271484375,0.55419921875,0.5078125,False,PDH,touch,0.25,real,all
PDH|touch,16,2048,-0.25622705950863955,-0.11807919685433013,2.191354917551327,2.4525361558279557,0.8935056522384045,0.6728515625,0.6865234375,0.4794921875,False,PDH,touch,0.25,real,all
PDH|touch,32,2048,-0.29334099601248,-0.1613439375381892,3.3344591733272013,3.6352825729961658,0.9172489638347346,0.77685546875,0.7958984375,0.48291015625,False,PDH,touch,0.25,real,all
PDH|touch,64,2048,-0.29680547787269623,-0.1888155490294099,4.8316307917552805,5.183362226540552,0.9321422236354062,0.837890625,0.84912109375,0.48193359375,False,PDH,touch,0.25,real,all
PDH|touch|T1,4,608,-0.1661140431878225,-0.07052213398202038,1.0944292964839448,1.2994915004804835,0.8421981183249622,0.4194078947368421,0.48848684210526316,0.4654605263157895,False,PDH,touch,0.25,real,touch1
PDH|touch|T1,8,608,-0.07381430264528495,0.029453978661842288,1.502919740015053,1.6624722139440309,0.9040269830733246,0.537828947368421,0.59375,0.5049342105263158,False,PDH,touch,0.25,real,touch1
PDH|touch|T1,16,608,-0.4378589886945318,-0.3185886877244176,2.19837213273703,2.5520111180639433,0.8614273335943778,0.6644736842105263,0.7138157894736842,0.45394736842105265,False,PDH,touch,0.25,real,touch1
PDH|touch|T1,32,608,-0.3195301768504592,-0.26818810212092925,3.579072052507256,3.882482203374934,0.9218515024733578,0.7631578947368421,0.8256578947368421,0.4654605263157895,False,PDH,touch,0.25,real,touch1
PDH|touch|T1,64,608,-0.5804763710233817,-0.42291604817143563,4.8793144896629554,5.3726854578806,0.9081705094993096,0.8322368421052632,0.8700657894736842,0.47039473684210525,False,PDH,touch,0.25,real,touch1
