band,n,bandwidth,bandwidth_20_bars_later,forward_20bar_range_in_ATR
squeeze,15736,0.003111355328740247,0.007578802477153607,6.691643576128444
tight,15735,0.004993386793198619,0.00807443025414183,5.718544095528328
mid,15735,0.006941504973969513,0.008320269488323848,5.03328180792995
loose,15735,0.009992429961596532,0.009128460706960216,4.608186841667422
wide,15735,0.020390338646743757,0.012334765177833591,4.125445303815051
