year,chg,E_pf,E_n,G1_pf,G1_n,G1*_pf,G1*_n
2019,0.037469962073912955,10.88675292092192,3,11.106766060474234,3,11.105889556145845,3
2020,0.24920936990433473,2.005212967259766,96,2.098263136849958,96,2.3012112710180967,96
2021,-0.04297612954746921,0.9241773847221864,114,0.9098908995073249,114,0.9133531031470986,114
2022,-0.003069848901774641,1.1675310876608196,112,1.184347237865785,112,1.1893309430910002,112
2023,0.12843135914231407,1.5845481561027641,112,1.562197215600617,112,1.5876157602269918,112
2024,0.2706588710946485,1.6543342495288393,107,1.7199059708455855,107,1.7402586892045147,107
2025,0.6474585573241913,2.390447132630104,108,2.4154404159619483,108,2.607494710549975,108
2026,-0.059886019147308955,2.3105715637199618,59,2.3979151412265796,59,2.7607241416235877,59
