arm,days,cagr,maxdd,mar,pf,net,vol,sharpe
GOLD,2124,-98.50156448390211,100.40291274371305,-0.9810628177225865,2.3196382383719887,-99.99999999758057,2005.67236101527,1.1257979318258218
AU200,2124,2.661137754083187,1.9991301834539454,1.331147804234277,3.076191973069092,16.512888855053866,1.8686070416887226,1.4148869951182557
US30,2124,1.0874819677119563,1.0833234892623889,1.003838630372908,2.0928230140982818,6.496389142281123,1.124091540653358,0.967850985569938
BOOK equal 1/1/1,2124,-98.44271287796822,100.42497161804616,-0.9802612964869215,2.3215213906902776,-99.99999999697259,2005.7281177728535,1.127627217676122
BOOK gold-tilt 2/1/1,2124,-40.56965010777013,101.75349801434352,-0.3987052130832032,2.320579920625785,-95.15923524602155,4011.399888566857,1.1267127532440833
BOOK risk-parity* GOLD0.00 AU2001.13 US301.87,2124,7.591184779656235,3.28869409466771,2.3082672213157753,2.5341735858689116,53.07850691332965,3.6791947554015714,2.0072392223038262
