fold,lo,hi,E_pf,E_n,G1_pf,G1_n,G1*_pf,G1*_n
1,31478,39347,1.0095382622866282,77,0.9856896378019984,77,0.8792084460999735,77
2,39347,47217,1.8645646774071232,74,1.890318087972025,74,2.0725018955360515,74
3,47217,55086,1.1746280141598744,72,1.234763918851271,72,1.2864473021394716,72
4,55086,62956,2.092428922485133,71,2.107482312998474,71,2.204140287112244,71
5,62956,70825,2.5086521271263775,73,2.627224147365673,73,2.9128466063869305,73
6,70825,78695,2.285330081083915,68,2.3234411263523267,68,2.6019589052186127,68
