pattern,horizon,n,mean_atr,uncond_atr,edge_atr,t,hit_rate
PERSON_HCD_long,4,4190,0.04276151451752655,0.04128821865419792,0.0014732958633286303,0.05797216598496219,0.5100238663484487
PERSON_HCD_long,8,4190,0.09693433751307225,0.08143120759812164,0.015503129914950606,0.42730623712470456,0.5143198090692124
PERSON_HCD_long,16,4190,0.18445207470041858,0.160345198978609,0.024106875721809584,0.4659360899454705,0.51527446300716
PERSON_HCD_long,32,4189,0.3674608033028221,0.32276674496252217,0.044694058340299936,0.5973797975892027,0.5383146335640965
PERSON_LCD_short,4,4133,-0.09145283907226778,-0.04128821865419792,-0.050164620418069863,-2.021867186787254,0.4536656181950157
PERSON_LCD_short,8,4133,-0.10563393710172125,-0.08143120759812164,-0.024202729503599613,-0.6657831702995681,0.4599564481006533
PERSON_LCD_short,16,4133,-0.18211444196669113,-0.160345198978609,-0.021769242988082138,-0.4201219678091375,0.4618920880716187
PERSON_LCD_short,32,4131,-0.3143555050496464,-0.32276674496252217,0.00841123991287579,0.11203038594147534,0.4553376906318083
PERSON_JACKHAMMER,4,1515,-0.006300822176752024,0.04128821865419792,-0.04758904083094995,-1.2215513836996148,0.49834983498349833
PERSON_JACKHAMMER,8,1515,0.09032815780454144,0.08143120759812164,0.008896950206419799,0.15580391571737875,0.5293729372937294
PERSON_JACKHAMMER,16,1515,0.1580807100217073,0.160345198978609,-0.0022644889569017057,-0.028931335371103057,0.5333333333333333
PERSON_JACKHAMMER,32,1515,0.3582265782721695,0.32276674496252217,0.03545983330964736,0.3038139776082242,0.5247524752475248
PERSON_SHOOTSTAR,4,1244,-0.07985442423953105,-0.04128821865419792,-0.038566205585333135,-0.8871630744592482,0.44614147909967844
PERSON_SHOOTSTAR,8,1244,-0.11956459385094258,-0.08143120759812164,-0.038133386252820936,-0.6007663427734116,0.4662379421221865
PERSON_SHOOTSTAR,16,1244,-0.19935392790050013,-0.160345198978609,-0.03900872892189114,-0.43370097209600145,0.4694533762057878
PERSON_SHOOTSTAR,32,1244,-0.5296612684185612,-0.32276674496252217,-0.20689452345603904,-1.5642169391462175,0.4557877813504823
DALE_POC_support,4,1347,-0.006128576017168119,0.04128821865419792,-0.04741679467136604,-1.2970847443995237,0.48478099480326653
DALE_POC_support,8,1347,0.037606881677697504,0.08143120759812164,-0.04382432592042414,-0.8437246686401987,0.49888641425389757
DALE_POC_support,16,1347,0.09574903841873024,0.160345198978609,-0.06459616055987875,-0.8256770760710815,0.5048255382331106
DALE_POC_support,32,1347,0.21068536757259484,0.32276674496252217,-0.11208137738992732,-0.9944212571627976,0.5077951002227171
DALE_POC_resist,4,1405,0.05481697569036683,-0.04128821865419792,0.09610519434456474,2.598003575095724,0.5138790035587188
DALE_POC_resist,8,1405,-0.024996859101408336,-0.08143120759812164,0.056434348496713305,1.016018421287825,0.5067615658362989
DALE_POC_resist,16,1405,-0.08438847783170073,-0.160345198978609,0.07595672114690827,0.9371124206474041,0.4832740213523132
DALE_POC_resist,32,1405,-0.10552848390618834,-0.32276674496252217,0.21723826105633381,1.8585806642239713,0.496797153024911
OCHOA_S1_in_uptrend,4,1911,0.020837938486999108,0.04128821865419792,-0.02045028016719881,-0.6020885295746908,0.5170068027210885
OCHOA_S1_in_uptrend,8,1911,0.016224830926875936,0.08143120759812164,-0.06520637667124571,-1.2789764100891434,0.5117739403453689
OCHOA_S1_in_uptrend,16,1911,-0.02582863639754256,0.160345198978609,-0.18617383537615156,-2.5897880422364468,0.5164835164835165
OCHOA_S1_in_uptrend,32,1911,-0.19622280369960662,0.32276674496252217,-0.5189895486621288,-4.922158169605351,0.5013082155939299
OCHOA_R1_in_downtrend,4,1675,-0.026904360196894853,-0.04128821865419792,0.014383858457303066,0.4878598667076832,0.47880597014925375
OCHOA_R1_in_downtrend,8,1675,-0.02656310144701659,-0.08143120759812164,0.05486810615110505,1.3419591939609454,0.4961194029850746
OCHOA_R1_in_downtrend,16,1675,-0.0841570627457095,-0.160345198978609,0.0761881362328995,1.3398042221691764,0.4811940298507463
OCHOA_R1_in_downtrend,32,1675,-0.2882138520725392,-0.32276674496252217,0.03455289288998298,0.4484457806970163,0.44417910447761194
HOUGAARD_above89,4,42823,0.05958527039899754,0.04128821865419792,0.01829705174479962,1.996958128272464,0.5106368073231674
HOUGAARD_above89,8,42819,0.11843042075382253,0.08143120759812164,0.036999213155700886,2.8014950366016724,0.5144211681730073
HOUGAARD_above89,16,42814,0.23321872788588693,0.160345198978609,0.07287352890727794,3.776005387741682,0.518965758863923
HOUGAARD_above89,32,42814,0.44784259185089936,0.32276674496252217,0.1250758468883772,4.455534130148066,0.5324660157892278
HOUGAARD_below89,4,35780,-0.01822867173894455,-0.04128821865419792,0.02305954691525337,2.421120392601065,0.47504192286193403
HOUGAARD_below89,8,35780,-0.03456360754670001,-0.08143120759812164,0.04686760005142163,3.3796493832731747,0.4735047512576859
HOUGAARD_below89,16,35777,-0.0672870842086712,-0.160345198978609,0.09305811476993779,4.633052447782056,0.4658579534337703
HOUGAARD_below89,32,35761,-0.16212140840074918,-0.32276674496252217,0.160645336561773,5.542823668700049,0.45750957747266574
