delta,n,pf,cagr,dd,mar
0.0035,308,1.0745405991800665,1.8814358815665289,24.99943778350831,0.07525912773957177
-0.0035,327,1.0224365091503973,0.6840806846353242,24.99901091464679,0.02736431001094227
0.006,271,1.1405424022672015,2.6335629788630355,24.997741809033204,0.10535203535510432
-0.006,296,1.5238773237389733,32.60743132011608,24.999704554795407,1.3043126669215523
