arm,mc_med,mc_med_sd,p30,p30_sd,p30_min,p30_max
E,25.356723345187312,0.02932921725189855,21.656,0.3153157148002611,21.060000000000002,21.92
G1,25.260146151635478,0.036565204563359724,21.124000000000002,0.44603138902996536,20.34,21.62
G1*,22.43146426711031,0.01622454963778922,9.848000000000003,0.3063592662218656,9.48,10.22
