arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,p30_sd,pf_pre2025,pf2021,pf2022,pf2026,top1,top5,top10,long_share,avg_bars
V1 tol0.0 | B 3R tgt,20.0,0.6379580688476562,594,28.28282828282828,1.1130600968458362,4.534156368140496,19.998249472763696,0.22672766305449482,19.086205188811334,2.8222222222222224,0.27397395568751,1.049079414792041,1.2488193780311452,0.757378732987935,0.9904444273908161,3.8139794318753517,21.29628651441112,40.32787164261939,58.417508417508415,32.3013468013468
V1 tol0.0 | C time 32 + 4ATR,25.0,1.6130532836914058,563,47.7797513321492,1.0990697920872168,4.625514511427675,24.99990313030829,0.18502129737534848,25.533083692276517,24.28888888888889,0.24545246704860643,1.0363147984150125,1.1297600492772364,0.8407542218637727,0.6899672217159377,7.26210800125016,31.648838173336788,51.02436729888023,58.081705150976916,27.561278863232683
V1 tol0.0 | C time 32 + 4ATR,20.0,1.2655355834960935,563,47.7797513321492,1.102589376576965,3.785225701113193,19.99947629943229,0.1892662409975526,20.459297758482965,5.0,0.1440164599646193,1.0406024960760878,1.1363666628946059,0.8442719806375756,0.6926558231571537,7.272812166521354,31.622848518864036,51.044147556922134,58.081705150976916,27.561278863232683
V1 tol0.0 | C time 64 + 4ATR,25.0,2.0165829467773433,473,43.551797040169134,1.1515424943141412,9.607055564586965,24.999122040635932,0.3842957184244611,33.44410903413892,69.5111111111111,0.2572408200620035,1.032454329477801,1.0735283647311387,0.8491550062192199,1.0349230479460079,10.59600244735747,33.89574833678968,53.022316409964525,58.7737843551797,49.05708245243129
V1 tol0.0 | C time 64 + 4ATR,20.0,1.6098873901367183,473,43.551797040169134,1.155805459116509,7.999673701305476,19.999703675009233,0.39998961141116923,27.463991852337504,34.4,0.3810317377662712,1.0386876765489315,1.0816077371474757,0.8528900807132633,1.0438271985434882,9.910724460968424,33.25954328207902,52.378376707695914,58.7737843551797,49.05708245243129
V1 tol0.25 | A trail 3.0ATR,25.0,2.0885461425781253,530,36.79245283018868,1.092597929163846,6.857638019145318,24.999820082423003,0.2743074948754059,33.4910291085044,70.64444444444445,0.6913932971601807,1.1038610504966868,1.18626017481576,0.8222794960282188,0.9529541602942143,11.610904554890514,40.044537122160165,60.382635752256505,58.867924528301884,22.767924528301887
V1 tol0.25 | A trail 3.0ATR,20.0,1.6437380981445309,530,36.79245283018868,1.1013681766606924,5.729366042653106,19.99943796516894,0.28647635261707755,27.155972333878807,33.71111111111111,1.2769562576496585,1.1130917854295914,1.1955107052712126,0.8243248648642104,0.9587932848090289,11.490546827051284,40.014154767784305,60.250372562183586,58.867924528301884,22.767924528301887
V1 tol0.25 | A trail 4.0ATR,25.0,3.196730651855469,460,41.08695652173913,1.2671222981479213,20.07898431394719,24.999180432368544,0.8031857031580618,35.8636924096543,81.19999999999999,0.4988876515698596,1.160872961043176,1.093317833311724,0.9472817141933831,1.4344237272276046,13.857578696097777,42.835379901691674,61.812845758233145,58.913043478260875,41.77608695652174
V1 tol0.25 | A trail 4.0ATR,20.0,2.50887939453125,460,41.08695652173913,1.274899038324586,16.22343420627448,19.999628089846407,0.8111867947439952,29.103116005237798,44.44444444444445,0.37051848890073463,1.172949253856549,1.1037273758205106,0.9533514209983761,1.4612404667993664,13.09568876731158,41.32216008137636,60.980264225862534,58.913043478260875,41.77608695652174
V1 tol0.25 | A trail 5.0ATR,25.0,2.362882995605468,398,39.19597989949749,1.3412992192063093,19.6046604427671,24.99935966987762,0.7842065037525447,26.682324448865373,30.311111111111114,0.2793290019994775,1.320869554902143,0.7300670759736676,0.9794569131522871,1.1867809659596873,13.923931607826042,44.35695720999961,63.87819839261315,57.537688442211056,63.462311557788944
V1 tol0.25 | A trail 5.0ATR,20.0,1.852565307617187,398,39.19597989949749,1.3587964185613666,15.657920170698336,19.999671001729,0.7829088873184308,21.4603196780603,8.155555555555555,0.08314794192830952,1.3411592184419197,0.7333564498848152,0.9841381762675465,1.1970681144492286,14.68584957835646,44.39116475264011,63.607622688469654,57.537688442211056,63.462311557788944
V1 tol0.25 | B 1.5R tgt,25.0,1.1044403076171871,527,43.26375711574953,1.0503249146327311,2.6412673572321133,24.999368688570478,0.10565336229629194,24.322811902583812,18.42222222222222,0.4365973934308555,1.0299682089056685,1.239442328288945,0.8681043600683752,0.8560422570424507,2.614176519197335,13.12735805507701,25.419890584999187,58.82352941176471,17.134724857685008
V1 tol0.25 | B 1.5R tgt,20.0,0.8708947753906249,527,43.26375711574953,1.0533648763745092,2.2026899919858955,19.99762555119928,0.11014757658835139,19.5642148899753,3.133333333333333,0.6820448556987914,1.0330444963714653,1.2451457386929747,0.8709897243697324,0.858754174087202,2.539509667270969,12.838248740172755,24.972518205490736,58.82352941176471,17.134724857685008
