arm,top1%_base,top1%_cand,top5%_base,top5%_cand,top10%_base,top10%_cand,bot10%_base,bot10%_cand,gross_win_base,gross_win_cand,gross_loss_base,gross_loss_cand,matched,n_base,n_cand,top1%_x,top5%_x,top10%_x,bot10%_x,gross_win_x,gross_loss_x,win_vs_loss
B: VT ATR20 x G1,165068.06350737638,147645.40883753213,339739.8873872975,306543.59337366885,415780.1525127359,371859.62378057034,-109003.92224353085,-88990.30304005789,461581.33314492495,409133.8548095585,229217.04187193298,189978.55431144423,711,711,711,0.8944516928372054,0.9022890886645126,0.8943659805146177,0.8163954214531879,0.886374351453898,0.8288151385252939,1.0694475887964823
B: VT SD20d x G1,165068.06350737638,171085.51007832412,339739.8873872975,328032.3768387095,415780.1525127359,391263.5191008155,-109003.92224353085,-97510.41563229632,461581.33314492495,426826.80251190596,229217.04187193298,194263.69892743585,711,711,711,1.0364543355212914,0.9655397821002936,0.9410346230724195,0.8945587794028518,0.9247055109524827,0.8475098419426157,1.0910852773496096
C: G1 + open-vol cap 2%,165068.06350737638,23283.987326950984,339739.8873872975,59939.0093803926,413545.22013698955,83217.04509388712,-107581.23273145763,-24676.81047378782,459273.02360315475,111399.31002477393,226195.56149967195,73045.42958656838,704,711,717,0.14105688788134657,0.17642617662983792,0.20122840512174445,0.22937839479294347,0.24255574418634052,0.3229304284411183,0.7511083590271428
