cycle,level,n,ret,net,mfe,mae,ratio,win%
session,ASIAH,776,0.9251404913084321,0.7791404913084321,3.6515833237606534,3.2310541121626337,1.1301523270733922,54.38144329896907
daily,ASIAH,2524,0.8905353411136406,0.7445353411136406,3.627866798091125,3.2305140373589483,1.1229998557929268,55.54675118858954
session,NYH,1021,0.7511350856635343,0.6051350856635342,3.2011612491641492,2.496091623909652,1.2824694488378356,57.98237022526934
session,Q50,1047,0.37565059722851746,0.22965059722851747,3.0633036296924225,2.702887281253134,1.1333449422545616,52.24450811843362
daily,PDH,820,0.3092041165612267,0.16320411656122671,3.1973594087245036,3.124494932750528,1.023320401390388,51.829268292682926
daily,Q50,808,0.25074654364404736,0.10474654364404737,3.221963032609741,2.908367677036744,1.107825210013512,51.113861386138616
session,Q25,2135,0.2481645194839912,0.10216451948399122,3.074452401890999,2.711590771131317,1.1338187290733,51.80327868852459
session,PDH,920,0.2105129140565118,0.0645129140565118,3.135996530683411,3.022400487492045,1.0375847091282158,51.08695652173913
daily,Q25,1683,0.1975838900552076,0.05158389005520761,3.2550890391813816,3.0708517980328116,1.059995484401622,50.44563279857398
daily,PDL,745,0.0007178763769706804,-0.1452821236230293,3.2648842599009464,3.3790633141770443,0.9662098505828366,47.91946308724832
session,PDL,740,-0.041182042134636936,-0.18718204213463693,2.8045362834570495,2.9013164495317976,0.9666426714361455,46.75675675675676
daily,ASIAL,2111,-0.14911686114016195,-0.29511686114016195,3.4842730343757466,3.647076584796177,0.9553605342155082,47.98673614400758
session,NYL,865,-0.23575795623536377,-0.3817579562353638,2.7660053314226025,2.9270548339292364,0.9449789936834072,46.47398843930636
session,ASIAL,604,-0.3851172818289014,-0.5311172818289014,3.123930209478387,3.675842854963851,0.849854124003108,46.35761589403973
