cycle,tz,n,prem_n,prem_up_rate,disc_up_rate,prem_mean,disc_mean
daily,ny,1717,883,0.5039637599093998,0.513189448441247,0.9539003397508439,-0.8178201438848933
weekly,ny,337,177,0.5254237288135594,0.63125,-0.27870621468926754,5.1855625000000005
session,ny,5152,2640,0.49886363636363634,0.5342356687898089,-0.09772765151515538,0.22888375796177715
