target,stop,n,resolved,hit%,breakeven%,edge,ambig%,unresolved%
0.25,0.25,4028,4028,26.911618669314798,50.0,-0.11544190665342602,44.314796425024824,0.0
0.25,0.5,4028,4028,47.98907646474677,66.66666666666666,-0.1400819265143992,26.31578947368421,0.0
0.25,0.75,4028,4028,62.53723932472691,75.0,-0.12462760675273085,15.19364448857994,0.0
0.25,1.0,4028,4028,72.7656405163853,80.0,-0.09042949354518376,8.738828202581926,0.0
0.25,1.25,4028,4028,78.69910625620655,83.33333333333334,-0.06951340615690171,5.858987090367428,0.0
0.25,1.5,4028,4028,82.57199602780535,85.71428571428571,-0.05499006951340618,3.997020854021847,0.0
0.25,2.0,4028,4028,87.61171797418073,88.88888888888889,-0.028736345580933437,2.135054617676266,0.0
0.5,0.25,4028,4028,24.503475670307846,33.33333333333333,-0.06622393247269118,25.54617676266137,0.0
0.5,0.5,4028,4028,42.179741807348556,50.0,-0.07820258192651441,14.374379344587885,0.0
0.5,0.75,4028,4028,54.44389275074478,60.0,-0.0694513406156902,8.167825223435948,0.0
0.5,1.0,4028,4028,63.87785501489574,66.66666666666666,-0.04183217477656398,4.493545183714002,0.0
0.5,1.25,4028,4028,69.91062562065541,71.42857142857143,-0.026564051638530317,3.0784508440913605,0.0
0.5,1.5,4028,4028,73.90764647467726,75.0,-0.021847070506454846,2.284011916583913,0.0
0.5,2.0,4028,4028,79.61767626613704,80.0,-0.009558093346574037,1.3406156901688182,0.0
0.75,0.25,4028,4028,21.375372393247268,25.0,-0.03624627606752731,14.448857994041708,0.0
0.75,0.5,4028,4028,36.146971201588876,40.0,-0.04816285998013903,8.018867924528301,0.0
0.75,0.75,4028,4028,46.72293942403178,50.0,-0.049155908639523294,4.716981132075472,0.0
0.75,1.0,4028,4028,55.80933465739821,57.14285714285714,-0.023336643495531273,2.432969215491559,0.0
0.75,1.25,4028,4028,61.96623634558094,62.5,-0.010675273088381232,1.7626613704071499,0.0
0.75,1.5,4028,4028,66.43495531281033,66.66666666666666,-0.005213505461767687,1.2413108242303872,0.0
0.75,2.0,4028,4028,72.91459781529295,72.72727272727273,0.005151439920556111,0.7199602780536246,0.0
1.0,0.25,4028,4028,19.016881827209534,20.0,-0.012288977159880837,9.061569016881828,0.0
1.0,0.5,4028,4028,32.0506454816286,33.33333333333333,-0.01924031777557106,4.965243296921549,0.0
1.0,0.75,4028,4028,41.63356504468719,42.857142857142854,-0.02141261171797426,3.1529294935451837,0.0
1.0,1.0,4028,4028,49.95034756703078,50.0,-0.0009930486593843213,1.663356504468719,0.0
1.0,1.25,4028,4028,56.03277060575969,55.55555555555556,0.010737338629592919,1.3157894736842106,0.0
1.0,1.5,4028,4028,60.749751737835155,60.0,0.018743793445878842,1.1171797418073486,0.0
1.0,2.0,4028,4028,67.50248262164847,66.66666666666666,0.02507447864945389,0.7447864945382324,0.0
1.25,0.25,4028,4028,16.360476663356504,16.666666666666664,-0.0045928500496524305,5.784508440913605,0.0
1.25,0.5,4028,4028,28.450844091360477,28.57142857142857,-0.0021102284011916828,3.2770605759682225,0.0
1.25,0.75,4028,4028,37.36345580933465,37.5,-0.0027308838133068836,2.0605759682224427,0.0
1.25,1.0,4028,4028,44.98510427010923,44.44444444444444,0.012164846077457714,1.3406156901688182,0.0
1.25,1.25,4028,4028,51.01787487586892,50.0,0.0254468718967229,1.0923535253227408,0.0
1.25,1.5,4028,4028,55.80933465739821,54.54545454545454,0.03475670307845091,0.8937437934458788,0.0
1.25,2.0,4028,4027,62.90042215048424,61.53846153846154,0.04426371989073763,0.6704742984852248,0.024826216484607744
1.5,0.25,4028,4028,14.250248262164847,14.285714285714285,-0.0006206554121151731,3.798411122144985,0.0
1.5,0.5,4028,4028,25.57100297914598,25.0,0.011420059582919584,2.2095332671300896,0.0
1.5,0.75,4028,4028,33.987090367428,33.33333333333333,0.014709533267130037,1.4399205561072492,0.0
1.5,1.0,4028,4028,41.23634558093347,40.0,0.030908639523336556,1.1171797418073486,0.0
1.5,1.25,4028,4028,47.095332671300895,45.45454545454545,0.0451216484607746,0.8937437934458788,0.0
1.5,1.5,4028,4028,51.73783515392254,50.0,0.0521350546176762,0.7696127110228401,0.0
1.5,2.0,4028,4026,58.84252359662195,57.14285714285714,0.059488325881768445,0.5961251862891207,0.04965243296921549
2.0,0.25,4028,4028,11.56901688182721,11.11111111111111,0.010302879841112222,1.8123138033763655,0.0
2.0,0.5,4028,4028,20.978152929493547,20.0,0.024453823237338634,1.0178748758689176,0.0
2.0,0.75,4028,4028,28.376365441906653,27.27272727272727,0.03035004965243293,0.6454816285998014,0.0
2.0,1.0,4028,4028,34.88083416087388,33.33333333333333,0.046425024826216466,0.5213505461767627,0.0
2.0,1.25,4028,4028,40.11916583912612,38.46153846153847,0.053872889771598875,0.4716981132075472,0.0
2.0,1.5,4028,4028,44.93545183714002,42.857142857142854,0.07274081429990087,0.3972194637537239,0.0
2.0,2.0,4028,4026,51.98708395429706,50.0,0.07948335817188257,0.42225534028812717,0.04965243296921549
2.5,0.25,4028,4028,9.582919563058589,9.090909090909092,0.013530287984111211,1.0427010923535254,0.0
2.5,0.5,4028,4028,17.85004965243297,16.666666666666664,0.03550148957298915,0.7696127110228401,0.0
2.5,0.75,4028,4028,24.627606752730884,23.076923076923077,0.05039721946375364,0.5710029791459782,0.0
2.5,1.0,4028,4028,30.486593843098316,28.57142857142857,0.06703078450844091,0.49652432969215493,0.0
2.5,1.25,4028,4028,35.20357497517379,33.33333333333333,0.07013406156901703,0.4468718967229394,0.0
2.5,1.5,4028,4028,39.57298907646475,37.5,0.08291956305858994,0.42204568023833167,0.0
2.5,2.0,4028,4026,46.696472925981126,44.44444444444444,0.10134128166915057,0.39741679085941384,0.04965243296921549
3.0,0.25,4028,4028,8.391261171797417,7.6923076923076925,0.0227159880834161,0.6703078450844091,0.0
3.0,0.5,4028,4028,15.64051638530288,14.285714285714285,0.04741807348560079,0.4468718967229394,0.0
3.0,0.75,4028,4028,21.89672293942403,20.0,0.07112711022840124,0.34756703078450846,0.0
3.0,1.0,4028,4028,27.28401191658391,25.0,0.09136047666335645,0.3227408142999007,0.0
3.0,1.25,4028,4028,31.727904667328698,29.411764705882355,0.09843594836146974,0.29791459781529295,0.0
3.0,1.5,4028,4028,35.8987090367428,33.33333333333333,0.11544190665342591,0.29791459781529295,0.0
