arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,pf_pre2025,avg_r,avg_bars,long_share,pf_tr,pf_va,pf_te,top10_share,n_over_10R
E  (baseline),25.0,1.108038330078125,274,25.18248175182482,1.469370203184559,24.082580096285568,24.99928821159251,0.9633306313544618,26.57380416587756,30.75,2.051404412661518,0.5202408830291492,37.24452554744526,77.37226277372262,1.3423333552125176,2.346539929120086,1.129412717485814,48.369748553995535,0
G1 (adds at base risk),25.0,1.0992324829101565,274,25.18248175182482,1.4548268047533726,24.05410564336099,24.999186646971808,0.9621955299203586,27.598906837020515,36.05,1.9070917668130616,0.5032480199598203,37.24452554744526,77.37226277372262,1.3175423284847074,2.201124566836839,1.1618036563770358,47.62955622149313,0
G1* (mult ALSO on adds),25.0,1.0742724609374998,274,25.18248175182482,1.4092566040175165,22.71635032081103,24.999888958458598,0.908658048784055,30.63104482192027,53.300000000000004,1.7435966057645131,0.4312039859008938,37.24452554744526,77.37226277372262,1.3059281418495412,2.1065198510342213,1.1243079854446087,47.935485932167126,0
