arm,risk,n,pf,net,dd,net_dd,wr
baseline champion,0.7221971869468689,789,1.5890758996514098,678.5352329561255,24.890266366972753,27.261067557576784,21.673003802281368
4h trend agreement (directional),0.5167541384696961,598,1.6877158238075602,282.13789149618,24.967484253000627,11.300213054596089,22.74247491638796
4h trend DISagreement (control),0.7344768166542053,361,1.1542835854901616,41.61286529800775,25.020666811558133,1.6631397400961736,19.667590027700832
candle confirmation on the break,0.9483930945396426,322,1.3560606026790256,159.0306523407272,25.042447548473035,6.350443663020633,24.22360248447205
4h agree + squeeze,0.6919454216957093,343,1.816683464145666,316.6297811882315,24.97942153326484,12.675625044662418,25.072886297376094
hard target 2R on 100% of size,0.7778059601783753,789,1.5394514246936242,642.811930157087,25.109099853824397,25.600755658278985,23.067173637515843
hard target 2R on 50% of size,0.746995770931244,789,1.5727066245026435,675.1629277320561,24.885853152520387,27.130391053668863,21.926489226869457
hard target 3R on 50% of size,0.6992334246635437,789,1.5930766450883034,629.9877117267312,25.064314970309205,25.134846592576128,21.673003802281368
