ft,st,fast,slow,side,rise,win,exit,n,wr,pf1,net1,dd1,top10,pf2,net2
SMA,SMA,10,30,both,True,cash10-16,cross,1978,25.530839231547013,0.6410458782519274,-12006.799999999972,12127.699999999972,-21.914248592464308,0.5617661350764446,-15962.799999999972
SMA,SMA,10,30,both,True,cash10-16,cross+3ATR,2848,22.507022471910112,0.5512972519472168,-19403.214626903493,19489.57264902323,-13.560639567176217,0.47377146011419263,-25099.214626903493
SMA,SMA,20,50,long,False,all-day,cross,526,34.79087452471482,0.7706542131760458,-3398.399999999988,3590.099999999986,-76.69785781544282,0.7130458891876389,-4450.399999999988
SMA,SMA,20,50,long,False,all-day,cross+3ATR,1250,23.76,0.5957958871776908,-9476.94902487783,9654.308623809447,-28.28969526967104,0.5278503446316186,-11976.94902487783
SMA,SMA,20,50,long,False,cash10-16,cross,479,34.44676409185804,0.7840185552354952,-2886.699999999986,3383.899999999987,-90.29341462569757,0.7253589542110159,-3844.699999999986
SMA,SMA,20,50,long,False,cash10-16,cross+3ATR,1081,25.161887141535615,0.6199502427148923,-7843.446593859207,8124.113925065456,-34.18140186100085,0.550711706154889,-10005.446593859207
SMA,SMA,20,50,long,True,all-day,cross,943,23.966065747614,0.6446171861374799,-5705.599999999984,5995.99999999998,-40.00981491867649,0.5663157173134385,-7591.599999999984
SMA,SMA,20,50,long,True,all-day,cross+3ATR,1429,20.433869839048285,0.5314311751847297,-10124.689831159078,10311.469025270424,-22.635755151203814,0.4569727558508977,-12982.689831159078
SMA,SMA,20,50,long,True,cash10-16,cross,767,27.11864406779661,0.7103756894578013,-3896.199999999978,4180.999999999978,-58.32092808377427,0.6276655558755376,-5430.199999999978
SMA,SMA,20,50,long,True,cash10-16,cross+3ATR,1152,23.00347222222222,0.5958899959096866,-7211.1009347181425,7336.0740545894405,-31.63594603171601,0.5154578031701018,-9515.100934718143
SMA,SMA,20,50,both,False,all-day,cross,1052,30.70342205323194,0.6863927471002925,-9720.099999999977,9862.49999999997,-35.70745156942838,0.6358184774975673,-11824.099999999977
SMA,SMA,20,50,both,False,all-day,cross+3ATR,2521,21.618405394684647,0.5516434761040839,-21688.959810184733,21756.45335263765,-16.903069728030328,0.48945269867762103,-26730.959810184733
SMA,SMA,20,50,both,False,cash10-16,cross,910,31.208791208791208,0.7241491167682481,-7653.3999999999805,8286.499999999978,-45.30927430945735,0.6734571475843818,-9473.39999999998
SMA,SMA,20,50,both,False,cash10-16,cross+3ATR,2269,22.69722344645218,0.5830204391379762,-18639.119663805854,18680.019663805866,-19.66938388790521,0.5195577594155429,-23177.119663805854
SMA,SMA,20,50,both,True,all-day,cross,1836,23.366013071895424,0.6057849090658798,-12886.299999999983,12979.599999999977,-25.482101146178533,0.5341044658533293,-16558.29999999998
SMA,SMA,20,50,both,True,all-day,cross+3ATR,2789,19.935460738615994,0.506619742833757,-21399.65642140965,21425.656421409705,-15.809599618689298,0.4368010353725488,-26977.65642140965
SMA,SMA,20,50,both,True,cash10-16,cross,1504,25.0,0.6360878107358187,-10242.999999999978,10444.199999999975,-32.05799082300114,0.5645830663525334,-13250.999999999978
SMA,SMA,20,50,both,True,cash10-16,cross+3ATR,2299,21.705089169204,0.5418386321488226,-17032.44382612613,17189.848177375763,-19.86326821058113,0.47016858242435183,-21630.44382612613
SMA,SMA,50,200,long,False,all-day,cross,152,37.5,0.9749032927634668,-186.20000000001073,1381.1000000000004,-2102.738990332854,0.935578831167123,-490.20000000001073
SMA,SMA,50,200,long,False,all-day,cross+3ATR,607,17.462932454695224,0.6868924207043765,-4246.121115888561,4573.008727934769,-97.9458636833936,0.6251724307632744,-5460.121115888561
SMA,SMA,50,200,long,False,cash10-16,cross,150,37.333333333333336,1.0549939402580726,385.69999999999254,1401.300000000001,1023.9305159450546,1.0119002985489123,85.69999999999254
SMA,SMA,50,200,long,False,cash10-16,cross+3ATR,553,18.9873417721519,0.7495136540097508,-3089.6986398120034,3444.1888241518645,-134.47266171735131,0.6829749995447082,-4195.698639812003
SMA,SMA,50,200,long,True,all-day,cross,431,22.96983758700696,0.7410373161668492,-2474.000000000008,2826.200000000009,-142.07760711398504,0.6739034809043895,-3336.000000000008
SMA,SMA,50,200,long,True,all-day,cross+3ATR,803,17.06102117061021,0.5894700586036927,-5697.288928536586,5939.909782480248,-64.99407080186704,0.5204854544493104,-7303.288928536586
SMA,SMA,50,200,long,True,cash10-16,cross,362,25.41436464088398,0.791517219765295,-1796.1000000000085,2130.00000000001,-193.16853181894018,0.7251259789271606,-2520.1000000000085
