arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,pf_pre2025,avg_r,avg_bars,long_share,pf_tr,pf_va,pf_te,top10_share,n_over_10R
G1* trendThr=4.0,25.0,0.5626223754882813,711,21.659634317862167,2.0105018756689357,52.70738473840977,24.998830389716026,2.108394029509974,22.509401849452914,10.65,1.4683641898938211,1.3005955750524432,40.728551336146275,65.68213783403657,1.5392366662546249,1.2469310343048634,2.4176198460363114,38.00311571714508,0
G1* trendThr=5.0,25.0,0.5982708740234375,711,21.659634317862167,2.0954078259105287,58.951924192890395,24.998503788691686,2.358218103419368,22.92498946611627,11.55,1.49734423429676,1.4942121478219859,40.728551336146275,65.68213783403657,1.5605996619972995,1.2825229997799692,2.4863113250407674,40.311681002307274,0
G1* trendThr=6.0,25.0,0.6060443115234375,711,21.659634317862167,2.175131676479116,60.78532370815937,24.999342066110103,2.431476938369585,22.470979124425373,10.549999999999999,1.5200298020645922,1.632160339805195,40.728551336146275,65.68213783403657,1.5760210106982353,1.3085139044012395,2.5884446467686417,41.37023313396399,0
G1* trendThr=7.0,25.0,0.6248706054687498,711,21.659634317862167,2.148252567331342,58.708744667381964,24.998688783214103,2.348472960981985,22.900391223921385,11.75,1.478991040704865,1.5993949765194815,40.728551336146275,65.68213783403657,1.52638484789848,1.256005643816578,2.588943475096265,41.31900219096434,0
G1* trendThr=8.0,25.0,0.629971923828125,711,21.659634317862167,2.126935231571739,57.033893140890626,24.99988461272401,2.2813662552611342,22.680426988123457,10.95,1.4715761437768655,1.5431529044860968,40.728551336146275,65.68213783403657,1.5030844391753753,1.2625014212929229,2.57168469952188,40.80449172324486,0
G1* expThr=1.0,25.0,0.5677844238281249,711,21.659634317862167,2.1065971648836697,61.85802080455265,24.997960934248415,2.474522660758469,22.20488722928656,9.4,1.5434713880285238,1.5532912559137921,40.728551336146275,65.68213783403657,1.6584269206811268,1.3737696648448694,2.427931823750399,39.2083056376231,0
G1* expThr=1.05,25.0,0.603250732421875,711,21.659634317862167,2.168120725214725,65.49144548115923,24.99970145121381,2.6196891034464507,22.865890454707326,11.1,1.5605381407618222,1.672045396205463,40.728551336146275,65.68213783403657,1.632555584825404,1.3910008135460465,2.510147167670693,41.09959879623461,0
G1* expThr=1.1,25.0,0.6060443115234375,711,21.659634317862167,2.175131676479116,60.78532370815937,24.999342066110103,2.431476938369585,22.470979124425373,10.549999999999999,1.5200298020645922,1.632160339805195,40.728551336146275,65.68213783403657,1.5760210106982353,1.3085139044012395,2.5884446467686417,41.37023313396399,0
G1* expThr=1.15,25.0,0.6518954467773437,711,21.659634317862167,2.2097952892121855,65.44163881093587,24.999220358658945,2.6177471885945813,23.403056826462056,13.8,1.5181236410311227,1.724819987810702,40.728551336146275,65.68213783403657,1.589634499125735,1.2871608047008545,2.617971047685255,43.545857182684166,0
G1* expThr=1.2,25.0,0.6854183959960937,711,21.659634317862167,2.2353345760714864,68.96954830475185,24.99942073988213,2.758845855765098,24.113462440058136,16.0,1.5175807261320216,1.8539527373328535,40.728551336146275,65.68213783403657,1.596634796862175,1.2876668711594488,2.626379148900038,45.22864035180191,0
G1* mult 1.15/0.9,25.0,0.6699322509765624,711,21.659634317862167,2.0875682806741622,59.88181242019539,24.997974762349482,2.395466552369912,23.645500665418567,14.000000000000002,1.4971474641473859,1.5060485418279208,40.728551336146275,65.68213783403657,1.538980567724944,1.294486091454799,2.464046033657834,41.05717365095604,0
G1* mult 1.3/0.85,25.0,0.6060443115234375,711,21.659634317862167,2.175131676479116,60.78532370815937,24.999342066110103,2.431476938369585,22.470979124425373,10.549999999999999,1.5200298020645922,1.632160339805195,40.728551336146275,65.68213783403657,1.5760210106982353,1.3085139044012395,2.5884446467686417,41.37023313396399,0
G1* mult 1.5/0.75,25.0,0.5776226806640624,711,21.659634317862167,2.287130256111139,61.93615902124685,24.998920010883335,2.4775533900777638,21.439119174055776,7.1,1.5478574926240072,1.8109021222196904,40.728551336146275,65.68213783403657,1.621577056043983,1.3226861378073784,2.7481449108841973,41.92389748389817,0
G1* mult 1.2/0.8,25.0,0.7008438110351562,711,21.659634317862167,2.166506557118952,60.75143578637534,24.999839125095445,2.430073068965935,22.58546589699572,11.05,1.517755837161341,1.6222079572571468,40.728551336146275,65.68213783403657,1.5721143822594348,1.3070443957537046,2.57573649084644,41.368297518775485,0
