gate,risk,n,pf,net,dd,net_dd
"champion, ungated",0.7221971869468689,789,1.5890758996514098,678.5352329561255,24.890266366972753,27.261067557576784
Ochoa: narrow pivot only,0.6859224200248719,416,1.7943464605571808,261.892976607123,24.914315129907944,10.51174697123174
Ochoa: wide pivot only,0.5265835404396058,388,1.282552265888453,57.552676036177616,24.944962401581748,2.3071863212160317
Ochoa: higher/lower value,0.33386458158493043,599,1.2118059534269476,34.38710605994335,25.018523521536785,1.374465844490854
Ochoa: inside value only,2.5572753071784975,74,1.9388200767717758,266.58852689220475,25.098334866557643,10.621761495716655
Hougaard: |c-89MA| > 1 ATR,0.6109739422798157,748,1.5586520178154382,402.7162014912599,25.02096676221923,16.09514953272497
Dale: away from POC > 1 ATR,0.6793865799903869,766,1.5986965798792239,592.145615296358,25.01151031232658,23.67492438089703
