band,days,mean_efficiency,mean_range
narrowest,415,0.4595888946687799,34.93081204819277
narrow,414,0.4538898668053815,36.93073429951692
mid,414,0.4541521761082514,31.947601449275364
wide,414,0.45140782435785987,39.38479710144928
widest,414,0.4382803440657533,36.75319806763284
