adds,spacing,tighten_after,tighten_to,risk,n,wr,pf,net,dd,cagr,mar,h1,h2
3,1.5,30,1.5,0.870654296875,734,23.56948228882834,1.7029040042124155,2530.7664703192654,24.975461883442925,63.40867429153689,2.538838904659963,1.370445414155058,1.8061462390091791
3,1.5,25,1.5,0.870654296875,736,23.505434782608695,1.6927474133860534,2513.7803188490293,24.974454499716003,63.24977971685908,2.5325790286061434,1.3656530340719215,1.7992332965131157
3,1.5,30,2.0,0.870654296875,734,23.56948228882834,1.6960326919581077,2429.2881998821804,24.978366608054515,62.4461221587596,2.5000082326689546,1.365811935638432,1.8005135497203921
3,1.5,25,2.0,0.870654296875,735,23.537414965986393,1.6900571604963786,2428.5374852774835,24.977518375876834,62.43888001189512,2.499803185900097,1.3632794694700205,1.796450172661237
3,1.5,20,2.0,0.870654296875,738,23.577235772357724,1.7259088464856658,2359.17378198413,24.98070150720331,61.76170833000663,2.4723768590804918,1.3707047492990228,1.8380347523300908
3,1.5,30,2.5,0.870654296875,734,23.56948228882834,1.6854579981256075,2293.5631207029815,24.981835671693982,61.10606915502812,2.4460199785984984,1.3583789224577762,1.7914654269267916
3,1.5,20,1.5,0.870654296875,739,23.545331529093367,1.6920650087353268,2282.9670108480004,24.97751574778571,60.99875462953954,2.442146578766432,1.3846747726262087,1.7895359226277219
3,1.5,20,2.5,0.870654296875,737,23.609226594301223,1.6970280692584878,2262.557546661105,24.980403010765006,60.790905249175985,2.433543815245049,1.3678998448299218,1.8064230199565776
3,1.5,25,2.5,0.870654296875,735,23.537414965986393,1.6778639857661253,2259.3466787340167,24.98115267079606,60.75806706658318,2.43215626865816,1.3544266636919982,1.7863459784842484
4,1.5,30,1.5,0.7390625,733,21.69167803547067,1.75886169710959,2218.1885466847534,24.988202919052554,60.33373542502596,2.4144887737814784,1.3979876369969695,1.883802923814
4,1.5,30,2.0,0.7390625,733,21.69167803547067,1.7523615101116021,2138.999971554506,24.991048504906637,59.49898277181293,2.3808117838725797,1.3924959317712908,1.8786564106399555
4,1.5,20,1.5,0.7079589843749998,738,21.680216802168022,1.81904405527924,2097.60009972367,24.98102820811351,59.05253837804621,2.3638954284062144,1.4191919603106018,1.9512481286407946
4,1.5,25,1.5,0.7079589843749998,736,21.603260869565215,1.756893507923425,2064.171411446357,24.988094700154395,58.68680686251013,2.3485907015610725,1.405317204843291,1.885231365247425
4,1.5,30,2.5,0.7390625,733,21.69167803547067,1.7422686593807635,2036.4903861641196,24.99445279662515,58.38030677975055,2.3357305420838532,1.3856103847954733,1.8694658683051995
4,1.5,20,2.0,0.7079589843749998,737,21.709633649932158,1.811146983925377,2010.385516892105,24.987766150577922,58.08815106680123,2.3246636260623785,1.4094726773941506,1.9465051710060923
4,1.5,25,2.0,0.7079589843749998,735,21.63265306122449,1.7535116376627324,1991.9345286073205,24.993097785218023,57.879796550207004,2.315831236592031,1.4010515485414408,1.8822714731311092
4,1.5,20,2.5,0.7079589843749998,736,21.73913043478261,1.7777978664732912,1925.6986459687312,24.991321293815187,57.11873903209286,2.2855429835247856,1.4021121705888238,1.9122879134490895
3,1.0,25,1.5,0.7354736328125,736,27.03804347826087,1.6496314093823092,1895.658772646603,24.986681313780647,56.766586363009395,2.271873789485661,1.355862873786539,1.7533624129056165
4,1.0,25,1.5,0.6062744140625,736,24.320652173913043,1.6857476959124749,1851.0239992231566,24.987561534611306,56.23492841926172,2.250516855811176,1.3738999915567547,1.798490168239349
4,1.5,25,2.5,0.7079589843749998,735,21.63265306122449,1.738758145436396,1849.0264807873132,24.998459474275144,56.210894644749885,2.2485743452549203,1.3903753072044769,1.869956339880117
3,1.25,25,1.5,0.765380859375,736,25.407608695652172,1.6350812603364273,1842.7642660972404,24.970126524683543,56.13541291080666,2.2481028622468338,1.3630367610870233,1.7328350489160045
4,1.0,30,1.5,0.6062744140625,735,24.353741496598637,1.6918690526426257,1830.2073414287527,24.98843142469794,55.98343267675092,2.2403740244943227,1.3724378886433743,1.8042186983194837
3,1.0,25,2.0,0.7354736328125,735,27.074829931972786,1.6451086843036686,1823.6191034872938,24.98395976947602,55.90335689803185,2.2375699214153952,1.3525898980496294,1.7487579509453743
3,1.25,30,1.5,0.7665771484375,735,25.442176870748302,1.6396712374506568,1823.1199907646846,24.993623575805398,55.897281012756665,2.2364616656412704,1.362517092603344,1.736539483668205
3,1.0,30,1.5,0.7354736328125,735,27.074829931972786,1.6408043470589861,1822.711784375253,24.97255899440487,55.89231076790819,2.2381491132098605,1.3563388152734857,1.740966989073414
2,1.5,25,1.5,0.9866943359375,736,27.717391304347828,1.593833046025498,1810.4225658007103,24.992577146243526,55.7422580167555,2.2303525439005703,1.3580585453607337,1.6756629818296962
4,1.0,25,2.0,0.6062744140625,735,24.353741496598637,1.6834331670551241,1795.320524329217,24.992148495935748,55.556732869031535,2.222967460283226,1.370029823406334,1.7968285645982829
3,1.5,0,0.0,0.870654296875,733,23.601637107776263,1.6460982941298437,1780.6955751557862,24.995740556610627,55.375867439690005,2.215412154493848,1.3297937954059267,1.7578582827510667
