horizon,uncond_mean,uncond_up_mfe,uncond_up_mae,uncond_mfe_mae
4,0.041271623078354365,1.0699052505637665,1.0781130205413676,0.9923869113708694
8,0.08098723068687684,1.5725542034785638,1.5683755577284408,1.0026643145065173
16,0.16042837263573118,2.3392426150369654,2.2926668226036395,1.0203151159924897
32,0.32238846028493784,3.4798596661194567,3.3159749717723086,1.0494227778382645
64,0.6055292137936926,5.1131372044653265,4.687948242353126,1.0906983055552628
