t_ms,dir,entry,pnl_usd,pnl_R,tag,hold_min,year,S
1726130493795,1,2530.345,47.303,1.5588400065908716,TIME,1938.1824833333333,2024-25,100.0
1726671671904,-1,2569.608,-30.397,-1.0001645169781521,SL,2132.8579,2024-25,100.0
1727047528508,1,2630.192,30.843,1.0215620031796502,TIME,4318.17985,2024-25,100.0
1730881884247,-1,2669.795,-30.23,-1.0008276775368317,SL,1556.8005166666667,2024-25,100.0
1731274425929,-1,2669.715,69.715,2.3019646689780418,TP,1731.1776333333332,2024-25,100.0
1731523049028,-1,2569.715,6.68,0.2205712398877332,TIME,2779.8544333333334,2024-25,100.0
1731990182677,1,2630.256,69.744,2.305129561078794,TP,4257.35895,2024-25,100.0
1732487327554,-1,2669.605,38.59,1.2696167132752096,TIME,4319.202766666666,2024-25,100.0
1734065123999,-1,2669.704,12.662,0.41794296276736204,TIME,4319.056533333333,2024-25,100.0
1734692400130,1,2630.625,-20.63,-0.6736326530612244,TIME,4317.72185,2024-25,100.0
1735761995857,1,2630.302,9.146,0.30182826216091346,TIME,2692.3906666666667,2024-25,100.0
1737427097368,1,2730.335,42.67,1.4066260095599143,TIME,4318.54835,2024-25,100.0
1738576537495,1,2830.335,17.73,0.5844733805834844,TIME,4319.9567,2024-25,100.0
1739218405209,1,2930.355,-30.36,-1.0001647175094712,SL,656.00225,2024-25,100.0
1739349002745,-1,2867.275,-32.725,-1.0,SL,202.19098333333332,2024-25,100.0
1739471085740,1,2930.405,-30.42,-1.0004933399111988,SL,963.0793833333333,2024-25,100.0
1739878690765,1,2930.215,6.66,0.2204203210325997,TIME,4319.984233333334,2024-25,100.0
1740515099924,1,2930.352,-30.357,-1.000164733790195,SL,762.8154333333333,2024-25,100.0
1740649631192,-1,2867.935,9.233,0.28794635895836584,TIME,1872.2746,2024-25,100.0
1741341672128,1,2930.365,-30.39,-1.0008233163181295,SL,4002.5196833333334,2024-25,100.0
1741781297911,1,2930.651,69.349,2.26253629571629,TP,2523.7878666666666,2024-25,100.0
1742285008879,1,3030.275,4.793,0.15831544178364987,TIME,4319.7406,2024-25,100.0
1742792700519,1,3030.342,6.473,0.21333465163799353,TIME,4319.8197666666665,2024-25,100.0
1743454883354,1,3130.352,-30.417,-1.0021415392725357,SL,3477.151966666667,2024-25,100.0
1743669276196,-1,3068.785,-31.35,-1.004324843825084,SL,89.19665,2024-25,100.0
1743677165114,1,3130.275,-30.277,-1.0000660611065235,SL,164.02018333333334,2024-25,100.0
1743750623045,1,3130.675,-30.7,-1.0008149959250203,SL,35.21885,2024-25,100.0
1743756873061,-1,3069.678,69.678,2.297935492381769,TP,3432.501333333333,2024-25,100.0
1743963158648,1,3032.129,-33.174,-1.0325251330573626,SL,9.91935,2024-25,100.0
1743975195506,1,3030.502,-30.84,-1.0110812405743885,SL,784.27175,2024-25,100.0
1744031080896,-1,2967.935,-32.11,-1.0014033993450804,SL,486.70298333333335,2024-25,100.0
1744141114114,-1,2969.605,-30.43,-1.0011515051817734,SL,118.62135,2024-25,100.0
1744165424444,1,3030.688,69.312,2.258602711157456,TP,1088.8632833333334,2024-25,100.0
1744240887884,1,3130.455,69.545,2.283533081595797,TP,1270.889,2024-25,100.0
1744350917290,1,3230.695,-7.87,-0.25639354943801923,TIME,4319.8358,2024-25,100.0
1744675250146,1,3230.365,69.635,2.293265272517701,TP,1670.9576833333333,2024-25,100.0
1744806240334,1,3331.405,-31.42,-1.0004776309504857,SL,1326.7985,2024-25,100.0
1745230394342,1,3430.345,-30.37,-1.0008238589553469,SL,1566.4866833333333,2024-25,100.0
1745335936096,-1,3369.595,69.595,2.28893274132544,TP,681.4446,2024-25,100.0
1745385083825,1,3330.415,-30.49,-1.0024658885418378,SL,248.5791,2024-25,100.0
1745402418573,-1,3268.065,-31.935,-1.0,SL,160.07623333333333,2024-25,100.0
1745440004329,1,3330.605,-30.87,-1.0086587158960953,SL,1762.1490166666667,2024-25,100.0
1745573062297,-1,3269.625,-30.45,-1.002469135802469,SL,371.5020166666667,2024-25,100.0
1745776820290,1,3331.275,-31.4,-1.0039968025579535,SL,81.33545,2024-25,100.0
1745791813106,-1,3269.535,-30.61,-1.0047595601509929,SL,169.81595,2024-25,100.0
1745836858238,1,3330.755,-30.9,-1.0047146805397495,SL,1388.9302333333333,2024-25,100.0
1745931308494,1,3330.575,-31.66,-1.0354865085854457,SL,915.8558666666667,2024-25,100.0
1746044385908,-1,3269.594,28.149,0.9257712293626258,TIME,2680.2208666666666,2024-25,100.0
1746458664165,1,3330.365,69.635,2.293265272517701,TP,1257.3650333333333,2024-25,100.0
1746549624519,1,3430.405,-30.84,-1.0143068574247656,SL,88.63665,2024-25,100.0
1746564274593,-1,3369.285,-30.715,-1.0,SL,1507.26795,2024-25,100.0
1746668956771,-1,3369.525,69.525,2.281378178835111,TP,680.1169166666666,2024-25,100.0
1746753052440,1,3330.465,-58.66,-1.9254882652223864,SL,3889.920183333333,2024-25,100.0
1747234948437,-1,3169.295,-30.736,-1.0010096075557726,SL,1093.3807666666667,2024-25,100.0
1747322982742,1,3230.255,-30.38,-1.0041315485043794,SL,764.1715833333334,2024-25,100.0
1747378385791,-1,3169.405,-30.73,-1.0044124857002779,SL,552.2291666666666,2024-25,100.0
1747592315027,1,3230.725,69.275,2.254678600488202,TP,2872.4067333333332,2024-25,100.0
1747862255520,1,3330.335,-30.39,-1.0018130871930113,SL,551.18235,2024-25,100.0
1747966635473,1,3330.545,13.44,0.4400065477164839,TIME,4319.9426,2024-25,100.0
1748459477985,-1,3269.068,-30.977,-1.001454804086383,SL,703.7259,2024-25,100.0
1748520948160,1,3330.355,-30.55,-1.006423982869379,SL,605.7061,2024-25,100.0
1748830646439,1,3330.485,36.413,1.1944562899786781,TIME,4318.85485,2024-25,100.0
1749117949924,-1,3369.485,58.39,1.9134851712272654,TIME,1854.1403833333334,2024-25,100.0
1749468202756,1,3330.342,56.756,1.870542482367675,TIME,4319.876083333334,2024-25,100.0
1749763310566,1,3430.252,7.673,0.2536361232315219,TIME,4319.739433333333,2024-25,100.0
1750156634110,-1,3369.825,-30.26,-1.0028169014084507,SL,849.0346333333333,2024-25,100.0
1750259641530,-1,3369.485,0.464,0.015205636572177618,TIME,2985.8372833333333,2024-25,100.0
1750797011668,1,3330.302,-30.404,-1.0033661144478911,SL,3052.089,2024-25,100.0
1751014773676,-1,3269.749,-12.286,-0.40613533436911176,TIME,4319.846116666667,2024-25,100.0
1751333280748,1,3330.332,10.643,0.35088355532111304,TIME,4319.98225,2024-25,100.0
1751893433879,1,3330.305,-30.33,-1.0008249463784853,SL,1293.2038,2024-25,100.0
1752123383552,1,3330.202,24.693,0.8175948612674657,TIME,2163.580916666667,2024-25,100.0
1753182283815,1,3430.315,-30.417,-1.0033646709549728,SL,1492.9158333333332,2024-25,100.0
1753329067902,-1,3369.715,31.37,1.0358263166584118,TIME,2228.8404,2024-25,100.0
1753889503232,-1,3269.755,-30.4,-1.005124814018846,SL,624.2436333333334,2024-25,100.0
1754037275590,1,3330.785,31.32,1.0173785934708461,TIME,4319.48645,2024-25,100.0
1754860223546,-1,3369.505,-0.3,-0.009837678307919331,TIME,4319.600283333333,2024-25,100.0
