t_ms,dir,entry,pnl_usd,pnl_R,tag,hold_min,year,S
1724249559293,1,2515.285,-15.297,-1.0007850834151129,SL,518.9280833333333,2024-25,50.0
1724319271954,-1,2484.174,-15.841,-1.0009478074055351,SL,1155.0691166666666,2024-25,50.0
1724407608477,1,2515.202,0.113,0.00743323246941192,TIME,4319.94105,2024-25,50.0
1724876204394,1,2515.292,-15.331,-1.0025503531258175,SL,2420.52285,2024-25,50.0
1725350244633,-1,2484.825,-15.537,-1.0238550247116969,SL,16.27705,2024-25,50.0
1725356392226,-1,2484.078,-15.987,-1.004082401708328,SL,1509.6643666666666,2024-25,50.0
1725510469812,1,2515.235,-15.277,-1.0027568099770265,SL,1896.31965,2024-25,50.0
1725958903593,1,2515.182,34.818,2.293373732051113,TP,2923.8173833333335,2024-25,50.0
1726175180177,1,2565.225,15.78,1.0364532019704433,TIME,4319.988916666666,2024-25,50.0
1726670564815,-1,2584.675,34.675,2.2626427406199023,TP,65.88761666666667,2024-25,50.0
1726699404264,1,2565.176,34.824,2.2946758039008963,TP,1671.5331333333334,2024-25,50.0
1726816227825,1,2615.225,7.78,0.5110016420361247,TIME,4319.958883333334,2024-25,50.0
1727216942179,1,2665.165,-15.293,-1.0084404879657105,SL,857.9087166666667,2024-25,50.0
1727322535535,1,2665.205,-15.48,-1.0180861558697796,SL,1870.57945,2024-25,50.0
1727639665778,1,2665.215,-15.33,-1.0075583305948077,SL,114.13968333333334,2024-25,50.0
1727679757219,-1,2634.605,-15.42,-1.0016239038648913,SL,1384.8356166666667,2024-25,50.0
1727775274456,1,2665.405,-15.981,-1.0373904576436221,SL,953.9030333333334,2024-25,50.0
1728002022101,1,2666.085,-16.455,-1.0230027976375504,SL,476.31801666666667,2024-25,50.0
1728032105618,-1,2634.925,-15.11,-1.0023217247097844,SL,20.144083333333334,2024-25,50.0
1728039909378,1,2665.665,-15.837,-1.0109798914778168,SL,36.39845,2024-25,50.0
1728340538911,-1,2634.815,-15.307,-1.0080342443200527,SL,526.3171166666667,2024-25,50.0
1728382430503,-1,2634.765,-15.24,-1.0003281916639317,SL,4218.314516666666,2024-25,50.0
1728872825957,1,2665.146,-15.371,-1.014855407368282,SL,376.37083333333334,2024-25,50.0
1728992791747,1,2665.205,34.795,2.288391976323578,TP,3463.3304333333335,2024-25,50.0
1729240202378,1,2715.422,23.002,1.4915056412916612,TIME,4319.979683333333,2024-25,50.0
1729675059449,-1,2734.838,-13.357,-0.8809523809523809,TIME,3341.51505,2024-25,50.0
1730196001325,1,2765.615,-15.69,-1.004803073967339,SL,2884.50035,2024-25,50.0
1730372353697,-1,2734.805,-15.197,-1.0001316222441592,SL,264.8161666666667,2024-25,50.0
1730470099712,-1,2734.535,-4.85,-0.31361138053669574,TIME,4319.982716666666,2024-25,50.0
1730802444361,-1,2734.805,34.805,2.2905561039815727,TP,1228.34895,2024-25,50.0
1730880366405,-1,2684.795,34.795,2.288391976323578,TP,733.9876833333333,2024-25,50.0
1730946087303,1,2665.235,34.765,2.2819166393173616,TP,491.5897,2024-25,50.0
1731031282272,-1,2684.815,-15.197,-1.0007902535396773,SL,412.67331666666666,2024-25,50.0
1731060743185,-1,2684.428,34.428,2.210891343436938,TP,4219.441633333333,2024-25,50.0
1731315273694,-1,2634.745,34.745,2.2776138970829236,TP,1050.38155,2024-25,50.0
1731399972534,1,2615.312,-15.327,-1.0009796238244515,SL,130.76325,2024-25,50.0
1731486602760,1,2615.782,-15.867,-1.0053858826511215,SL,90.81953333333334,2024-25,50.0
1731498950728,-1,2584.735,34.735,2.275466754012447,TP,994.8078333333333,2024-25,50.0
1731576925725,1,2565.155,-2.23,-0.14714615638403167,TIME,1883.8313,2024-25,50.0
1731928218177,1,2615.182,34.818,2.293373732051113,TP,2901.4983833333335,2024-25,50.0
1732159264441,1,2665.295,34.705,2.2690421706440014,TP,1439.32955,2024-25,50.0
1732267896970,-1,2684.675,-15.36,-1.0022838499184339,SL,56.2385,2024-25,50.0
1732294413683,1,2715.185,-15.32,-1.0088903523213697,SL,2946.6696833333335,2024-25,50.0
1732472228285,1,2715.222,-15.277,-1.0036131914334516,SL,109.47543333333333,2024-25,50.0
1732487179058,-1,2684.764,34.764,2.281701233919664,TP,653.9220666666666,2024-25,50.0
1732527890101,-1,2634.788,-15.238,-1.0017091769655535,SL,2524.65075,2024-25,50.0
1732718176918,-1,2634.785,-15.325,-1.0072297075254684,SL,1832.2010666666667,2024-25,50.0
1732842462486,1,2665.225,-15.44,-1.0141215106732349,SL,786.4382166666667,2024-25,50.0
1733082216797,-1,2633.054,-17.321,-1.022129116015579,SL,809.4077333333333,2024-25,50.0
1733145459430,-1,2634.815,-15.185,-1.0,SL,726.5038,2024-25,50.0
1733299443696,-1,2634.845,-15.23,-1.0049488617617948,SL,60.07965,2024-25,50.0
1733394471748,-1,2634.615,0.489,0.03178420539486513,TIME,1832.10645,2024-25,50.0
1733701564954,-1,2634.774,-15.332,-1.0069617759096283,SL,167.75381666666667,2024-25,50.0
1733734624504,1,2665.325,34.675,2.2626427406199023,TP,2084.7189166666667,2024-25,50.0
1733874263459,-1,2684.185,-15.815,-1.0,SL,344.03593333333333,2024-25,50.0
1733913660194,1,2715.235,-16.511,-1.0837545126353791,SL,589.7485166666667,2024-25,50.0
1733959830885,1,2715.526,-15.628,-1.006569625144918,SL,566.07205,2024-25,50.0
1733995611420,-1,2684.744,34.744,2.277399056109072,TP,1797.1179666666667,2024-25,50.0
1734425633206,-1,2634.648,-15.367,-1.0009770713913497,SL,641.6510833333333,2024-25,50.0
1734516565329,-1,2634.755,34.755,2.279763857002296,TP,318.7781166666667,2024-25,50.0
1734554620236,1,2615.425,-15.577,-1.0098541329011346,SL,707.0658833333333,2024-25,50.0
1734686000208,1,2615.245,3.79,0.24860610036077402,TIME,4319.9194333333335,2024-25,50.0
1735615388186,1,2615.255,34.745,2.2776138970829236,TP,3263.2832166666667,2024-25,50.0
1735856421427,1,2665.282,-15.317,-1.0022902761418662,SL,329.4642333333333,2024-25,50.0
1736121169468,-1,2634.685,-15.417,-1.0066601371204702,SL,1874.9496333333334,2024-25,50.0
1736328709856,1,2665.276,-15.411,-1.0088373919874312,SL,188.18721666666667,2024-25,50.0
1736387222969,1,2665.196,24.329,1.6010134245854173,TIME,2352.5780833333333,2024-25,50.0
1737017044026,1,2715.255,-15.28,-1.0016388069485416,SL,1820.3383166666667,2024-25,50.0
1737405741933,1,2715.372,34.628,2.2526671870934165,TP,1553.4668,2024-25,50.0
1737666029610,1,2765.352,-2.474,-0.16115164147993746,TIME,4319.9764,2024-25,50.0
1737954048446,1,2765.016,-15.031,-1.0009989344698988,SL,263.796,2024-25,50.0
1737978683533,-1,2734.515,-15.49,-1.0003228931223764,SL,1268.9166,2024-25,50.0
1738076132756,1,2765.365,-15.4,-1.0022779043280183,SL,1173.6416333333334,2024-25,50.0
1738202258485,1,2765.325,34.675,2.2626427406199023,TP,1473.61255,2024-25,50.0
1738318091349,1,2815.315,-15.4,-1.0055501142670584,SL,193.50423333333333,2024-25,50.0
1738521497421,-1,2782.548,-17.494,-1.0024066009626404,SL,539.7006,2024-25,50.0
1738574121319,1,2815.252,34.748,2.2782585890375033,TP,2155.1071166666666,2024-25,50.0
1738724435530,1,2865.262,-15.277,-1.0009828331804482,SL,1461.7665666666667,2024-25,50.0
1738823887277,1,2865.345,-15.37,-1.0016291951775822,SL,191.59595,2024-25,50.0
1738836528953,-1,2834.598,-15.777,-1.0243474873393066,SL,31.24595,2024-25,50.0
1738874433091,1,2865.275,2.39,0.1564648117839607,TIME,4319.987783333333,2024-25,50.0
1739212467580,1,2915.285,-15.29,-1.0003271180896303,SL,754.9627333333333,2024-25,50.0
1739260957997,-1,2884.685,-15.337,-1.0014365001632386,SL,64.15893333333334,2024-25,50.0
1739305946309,-1,2884.448,-15.552,-1.0,SL,919.79825,2024-25,50.0
1739399146432,1,2915.275,-15.29,-1.0009819967266775,SL,2162.06785,2024-25,50.0
1739538427406,-1,2884.725,-15.275,-1.0,SL,3393.58375,2024-25,50.0
1739838672468,1,2915.335,34.665,2.2605151613955003,TP,3002.4288833333335,2024-25,50.0
1740041270209,-1,2934.964,-15.038,-1.0001330140994946,SL,692.7088666666667,2024-25,50.0
1740390012095,-1,2934.585,-15.42,-1.0003243593902043,SL,274.3980833333333,2024-25,50.0
1740447071040,-1,2934.735,34.735,2.275466754012447,TP,575.96035,2024-25,50.0
1740499424924,1,2915.225,-15.23,-1.000328407224959,SL,1024.0654333333334,2024-25,50.0
1740567808719,1,2915.245,-15.27,-1.001639881928501,SL,764.23245,2024-25,50.0
1740625873368,-1,2883.905,33.905,2.1065548306927617,TP,1787.97055,2024-25,50.0
1740736512258,-1,2834.705,-15.34,-1.0029421379535797,SL,58.39085,2024-25,50.0
1740938512038,1,2865.785,34.215,2.1675641431738994,TP,1945.8669833333333,2024-25,50.0
1741059039910,1,2915.372,-15.517,-1.009432734842571,SL,389.36373333333336,2024-25,50.0
