year,S,k,round,n,p,p_up,p_dn,unres
2025-26,2.5,0,True,2475146,0.523121868366553,0.5220515894107137,0.5241928965193915,6
2025-26,2.5,1,False,2474835,0.5231225516044504,0.5230059949607109,0.5232391940900367,8
2025-26,2.5,2,False,2468988,0.5232167997576335,0.5249769624062098,0.5214553705279364,20
2025-26,2.5,3,False,2465941,0.5232193308761239,0.5252477916644708,0.5211894728472609,34
2025-26,2.5,4,False,2462618,0.5232171615735773,0.5246632438997461,0.5217700383307362,34
2025-26,2.5,5,False,2459841,0.5232468277421183,0.5258894429070103,0.5206021297570593,14
2025-26,2.5,6,False,2460262,0.5232467111226365,0.5252853500017065,0.5212065370490246,28
2025-26,2.5,7,False,2467058,0.5232455013218174,0.5248267411782248,0.5216630739960392,34
2025-26,2.5,8,False,2479666,0.5231478755606602,0.5246119462191161,0.5216827204701728,36
2025-26,2.5,9,False,2479318,0.5231474945932713,0.5236780459876705,0.5226165527359117,45
2025-26,2.5,10,False,2477300,0.523154644169055,0.5223359155776396,0.5239739718316229,10
2025-26,2.5,11,False,2476872,0.52317116104506,0.5222069125841189,0.5241360871275548,6
2025-26,5.0,0,True,1243408,0.5122896104898794,0.5117737964483225,0.5128056618738949,4
2025-26,5.0,1,False,1232470,0.5124246431961833,0.5122831268028827,0.5125662234456968,20
2025-26,5.0,2,False,1222963,0.5124504993200939,0.5110624967299744,0.5138391126479724,34
2025-26,5.0,3,False,1219502,0.512486244385003,0.5085441637016511,0.5164301227666122,28
2025-26,5.0,4,False,1232051,0.5123724586076388,0.5095558974558722,0.5151902865298342,36
2025-26,5.0,5,False,1236102,0.5122773039765327,0.5068894230613691,0.5176676786835581,145
2025-26,5.0,6,False,1234731,0.5123229270181117,0.5085132776037804,0.5161343108266839,159
2025-26,5.0,7,False,1239600,0.5122854146498871,0.5100615062498286,0.5145103064084833,125
2025-26,5.0,8,False,1242765,0.5122714270195894,0.5116167564471389,0.512926378955942,103
