t_ms,dir,entry,pnl_usd,pnl_R,tag,hold_min,year,S
1756907152503,1,3575.315,12.143,0.16122950275509526,TIME,3068.3168833333334,2025-26,250.0
1759131114613,1,3825.302,57.113,0.7584526307402194,TIME,4319.7462,2025-26,250.0
1760319179290,1,4075.745,139.24,1.838273153343455,TIME,4319.981733333333,2025-26,250.0
1760633323975,1,4325.352,-75.447,-1.0012607495487844,SL,1034.5666,2025-26,250.0
1760950699875,1,4325.325,-75.43,-1.0013939595087953,SL,1156.1458,2025-26,250.0
1761040099414,-1,4173.725,68.973,0.9042674532940019,TIME,4319.905133333334,2025-26,250.0
1761622330168,-1,3923.745,-76.35,-1.001245819946233,SL,1466.7087,2025-26,250.0
1761760816584,-1,3921.725,-78.58,-1.0038965186841264,SL,670.2569666666667,2025-26,250.0
1762738452992,1,4075.455,132.28,1.75309787290438,TIME,4319.1866666666665,2025-26,250.0
1763456695877,1,4075.285,2.24,0.029753602975360297,TIME,4319.20485,2025-26,250.0
1764672882427,-1,4174.355,-75.72,-1.0009914733293674,SL,4295.6277,2025-26,250.0
1765518038618,1,4325.335,14.653,0.19450454635959383,TIME,4319.535866666667,2025-26,250.0
1766997951294,-1,4424.814,107.212,1.4259569600723538,TIME,3368.872066666667,2025-26,250.0
1767780988993,-1,4424.635,-75.45,-1.001127844490148,SL,2873.179,2025-26,250.0
1768159948515,1,4575.385,42.09,0.5583338860516017,TIME,4317.971366666667,2025-26,250.0
1768940935239,1,4825.512,157.923,2.091362962178197,TIME,4110.757533333333,2025-26,250.0
1769372927555,1,5075.525,-76.02,-1.0065541211519364,SL,1207.3806166666666,2025-26,250.0
1769458515776,1,5075.645,174.355,2.3049110978914666,TP,1670.87595,2025-26,250.0
1769606658296,1,5325.315,174.685,2.319391887406227,TP,306.16813333333334,2025-26,250.0
1769625531813,1,5577.055,-78.69,-1.0212186100837064,SL,10.854883333333333,2025-26,250.0
1769648529614,1,5575.915,-78.397,-1.0326944609102287,SL,161.65883333333332,2025-26,250.0
1769681317244,-1,5421.918,171.918,2.201762249942368,TP,18.252633333333332,2025-26,250.0
1769682469447,-1,5170.535,-79.567,-1.0012835839677845,SL,2.8684666666666665,2025-26,250.0
